Date,Outage_Color,Incidents,Service,incident_count,partial_outage_flag,partial_outage_minutes,major_outage_flag,major_outage_minutes,outage_flag,total_outage_minutes,scaled_total_outage_minutes,outage_impact_level,provider
2024-06-01,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-06-02,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-06-03,#e7c414,"[{'Incident_Title': 'Haiku Partial Outage', 'Incident_Link': 'https://status.anthropic.com/incidents/q44nvw2pmhpt'}, {'Incident_Title': 'Elevated error rate on Claude 3 Opus', 'Incident_Link': 'https://status.anthropic.com/incidents/95hjzp5m60n8'}]",console.anthropic.com,2,1,59,0,0,1,59,17.7,1,anthropic
2024-06-04,#f0c40f,"[{'Incident_Title': 'Partial Outage on claude.ai and console.anthropic.com', 'Incident_Link': 'https://status.anthropic.com/incidents/gm6vlw4gc377'}]",console.anthropic.com,1,1,65,0,0,1,65,19.5,1,anthropic
2024-06-05,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-06-06,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-06-07,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-06-08,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-06-09,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-06-10,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-06-11,#2fcc66,"[{'Incident_Title': 'Elevated error rates on Claude 3 Haiku', 'Incident_Link': 'https://status.anthropic.com/incidents/dh75z61fyv1n'}]",console.anthropic.com,1,0,0,0,0,0,0,0.0,0,anthropic
2024-06-12,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-06-13,#a6c731,"[{'Incident_Title': 'Elevated errors on Haiku', 'Incident_Link': 'https://status.anthropic.com/incidents/2vfzrjrysfqy'}]",console.anthropic.com,1,1,14,0,0,1,14,4.2,1,anthropic
2024-06-14,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-06-15,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-06-16,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-06-17,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-06-18,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-06-19,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-06-20,#2fcc66,"[{'Incident_Title': 'Elevated errors on Console billing UI', 'Incident_Link': 'https://status.anthropic.com/incidents/6y3n60jm23w1'}]",console.anthropic.com,1,0,0,0,0,0,0,0.0,0,anthropic
2024-06-21,#e74c3c,"[{'Incident_Title': 'Claude.ai and Console Outage', 'Incident_Link': 'https://status.anthropic.com/incidents/vc4jcltdwzg8'}, {'Incident_Title': 'Elevated error rates in Claude.ai and Console', 'Incident_Link': 'https://status.anthropic.com/incidents/t39s5hjpbs9v'}, {'Incident_Title': 'Degraded performance on Haiku and Sonnet', 'Incident_Link': 'https://status.anthropic.com/incidents/jryzc0zn3k8c'}]",console.anthropic.com,3,0,0,1,75,1,75,75.0,4,anthropic
2024-06-22,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-06-23,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-06-24,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-06-25,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-06-26,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-06-27,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-06-28,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-06-29,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-06-30,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-07-01,#2fcc66,"[{'Incident_Title': 'Elevated errors on Claude.ai', 'Incident_Link': 'https://status.anthropic.com/incidents/qkkbd8tzhlvn'}]",console.anthropic.com,1,0,0,0,0,0,0,0.0,0,anthropic
2024-07-02,#cdc51f,"[{'Incident_Title': 'Elevated error rates in the API', 'Incident_Link': 'https://status.anthropic.com/incidents/zcqbpk14kylw'}, {'Incident_Title': '3.5 Sonnet Partially Down', 'Incident_Link': 'https://status.anthropic.com/incidents/v215b9mp2jx2'}]",console.anthropic.com,2,1,41,0,0,1,41,12.299999999999999,1,anthropic
2024-07-03,#2fcc66,"[{'Incident_Title': 'Elevated errors on Claude.ai and Console', 'Incident_Link': 'https://status.anthropic.com/incidents/jsp92d37pvs0'}]",console.anthropic.com,1,0,0,0,0,0,0,0.0,0,anthropic
2024-07-04,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-07-05,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-07-06,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-07-07,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-07-08,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-07-09,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-07-10,#a3c732,"[{'Incident_Title': 'Claude 3 Haiku Elevated Error Rates', 'Incident_Link': 'https://status.anthropic.com/incidents/gvgs9zlm8ffn'}]",console.anthropic.com,1,1,13,0,0,1,13,3.9,1,anthropic
2024-07-11,#eca218,"[{'Incident_Title': 'Elevated errors on Claude.ai and Console', 'Incident_Link': 'https://status.anthropic.com/incidents/j8t7dz18qf1y'}]",console.anthropic.com,1,1,87,0,0,1,87,26.099999999999998,2,anthropic
2024-07-12,#a1c733,"[{'Incident_Title': 'Haiku and 3.5 Sonnet Partial Outage', 'Incident_Link': 'https://status.anthropic.com/incidents/1m34020z39y6'}, {'Incident_Title': 'Partial unavailability for Claude 3 Haiku and Claude 3.5 Sonnet', 'Incident_Link': 'https://status.anthropic.com/incidents/zv1j7d2tnvyw'}]",console.anthropic.com,2,1,11,0,0,1,11,3.3,1,anthropic
2024-07-13,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-07-14,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-07-15,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-07-16,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-07-17,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-07-18,#b3c72b,"[{'Incident_Title': 'Partial outage of Claude-2.0 and Claude-2.1', 'Incident_Link': 'https://status.anthropic.com/incidents/2pqj8sfk0rqn'}]",console.anthropic.com,1,1,23,0,0,1,23,6.8999999999999995,1,anthropic
