Incident_Title,Incident_Link,Incident_color,Incident_Impact,Updates,Service
Claude.ai & Console downtime,https://status.anthropic.com/incidents/mzbrvjdyg58h,#333333,impact-none,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""From 21:38 UTC to 21:49 UTC, service was partially degraded for claude.ai and console.anthropic.com."", ""Update_Timestamp"": ""Posted 1 year ago. Aug 22, 2023 - 15:17 PDT""}]",This incident affected: claude.ai and console.anthropic.com.
Service partially degraded,https://status.anthropic.com/incidents/q7r96llr464k,#333333,impact-none,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""From 18:03 UTC to 18:23 UTC, service was partially degraded meaning that some API requests were returning 500s."", ""Update_Timestamp"": ""Posted 1 year ago. Aug 12, 2023 - 11:59 PDT""}]",This incident affected: api.anthropic.com.
claude.ai and claude-instant-1.2 were partially degraded,https://status.anthropic.com/incidents/ddcqt95wb9g2,#f1c40f,impact-minor,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""claude.ai and claude-instant-1.2 were partially degraded."", ""Update_Timestamp"": ""Posted 1 year ago. Aug 10, 2023 - 15:00 PDT""}]",
claude.ai down & API partially degraded,https://status.anthropic.com/incidents/rl5dxx1dvn2b,#e67e22,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 1 year ago. Aug 04, 2023 - 12:19 PDT""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We are continuing to investigate this issue."", ""Update_Timestamp"": ""Posted 1 year ago. Aug 04, 2023 - 10:37 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 1 year ago. Aug 04, 2023 - 09:24 PDT""}]","This incident affected: claude.ai, console.anthropic.com, and api.anthropic.com."
529s on claude-instant-v1.1,https://status.anthropic.com/incidents/w604spz451n2,#333333,impact-none,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""From 16:23UTC to 16:27UTC, users may have seen elevated rates of 529 when trying to call `/v1/complete` when using the `claude-instant-v1.1` model.\n\nThis outage also caused brief issues with claude.ai and console.anthropic.com."", ""Update_Timestamp"": ""Posted 1 year ago. Aug 02, 2023 - 10:02 PDT""}]","This incident affected: claude.ai, console.anthropic.com, and api.anthropic.com."
Elevated errors for sign up page,https://status.anthropic.com/incidents/gy6zjzf1f719,#333333,impact-none,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 1 year ago. Jul 18, 2023 - 07:18 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We're experiencing an elevated level of errors in the sign up page and are currently looking into the issue."", ""Update_Timestamp"": ""Posted 1 year ago. Jul 18, 2023 - 07:14 PDT""}]",This incident affected: claude.ai and console.anthropic.com.
Partial Outage Impacting Claude and Console,https://status.anthropic.com/incidents/p0x0nrp5ld9k,#f1c40f,impact-minor,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 1 year ago. Jul 17, 2023 - 14:56 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 1 year ago. Jul 17, 2023 - 14:52 PDT""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We are continuing to investigate this issue."", ""Update_Timestamp"": ""Posted 1 year ago. Jul 17, 2023 - 14:35 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We're experiencing an elevated level of API errors and are currently looking into the issue."", ""Update_Timestamp"": ""Posted 1 year ago. Jul 17, 2023 - 14:32 PDT""}]",This incident affected: claude.ai and console.anthropic.com.
anthropic.com is down but the API and Console are still available,https://status.anthropic.com/incidents/61k4r5c1xzfj,#f1c40f,impact-minor,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 1 year ago. Jul 10, 2023 - 16:25 PDT""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We are continuing to investigate this issue."", ""Update_Timestamp"": ""Posted 1 year ago. Jul 10, 2023 - 15:10 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 1 year ago. Jul 10, 2023 - 14:58 PDT""}]",
API Outage,https://status.anthropic.com/incidents/svk9pskgp576,#e74c3c,impact-critical,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 1 year ago. Jul 10, 2023 - 08:25 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 1 year ago. Jul 10, 2023 - 08:19 PDT""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We are continuing to work on a fix for this issue."", ""Update_Timestamp"": ""Posted 1 year ago. Jul 10, 2023 - 08:11 PDT""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""The issue has been identified and a fix is being implemented."", ""Update_Timestamp"": ""Posted 1 year ago. Jul 10, 2023 - 08:10 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 1 year ago. Jul 10, 2023 - 08:10 PDT""}]",
Increased tail latency,https://status.anthropic.com/incidents/dccfckxw59q6,#f1c40f,impact-minor,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 1 year ago. Jul 07, 2023 - 14:16 PDT""}, {""Update_Title"": ""Update"", ""Update_Body"": ""The increased tail latency has been resolved."", ""Update_Timestamp"": ""Posted 1 year ago. Jul 07, 2023 - 14:15 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 1 year ago. Jul 07, 2023 - 10:47 PDT""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""The issue has been identified and a fix is being implemented. This only affects `claude-1.3`"", ""Update_Timestamp"": ""Posted 1 year ago. Jun 29, 2023 - 19:01 PDT""}]",
