Incident_Title,Incident_Link,Incident_color,Incident_Impact,Updates,Service
Major outage,https://status.character.ai/incidents/nxmjjz11m0rm,#e74c3c,impact-critical,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 3 months ago. May 28, 2024 - 14:37 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 3 months ago. May 28, 2024 - 13:26 PDT""}]",This incident affected: Character.AI.
Site down,https://status.character.ai/incidents/dg258gzdn1w5,#e74c3c,impact-critical,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 3 months ago. May 19, 2024 - 17:19 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 3 months ago. May 19, 2024 - 14:10 PDT""}]",This incident affected: Character.AI.
Partial outage,https://status.character.ai/incidents/p67d35ptln3v,#e67e22,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 4 months ago. May 13, 2024 - 18:07 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 4 months ago. May 13, 2024 - 17:18 PDT""}]",This incident affected: Character.AI.
Web Issue,https://status.character.ai/incidents/sgwyyq1xr0xr,#e67e22,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 4 months ago. Apr 29, 2024 - 11:56 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 4 months ago. Apr 29, 2024 - 11:55 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 4 months ago. Apr 29, 2024 - 11:45 PDT""}]",This incident affected: Character.AI.
Site down,https://status.character.ai/incidents/pwdjlm88pk27,#e74c3c,impact-critical,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 4 months ago. Apr 28, 2024 - 13:46 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 4 months ago. Apr 28, 2024 - 13:25 PDT""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""The issue has been identified and a fix is being implemented."", ""Update_Timestamp"": ""Posted 4 months ago. Apr 28, 2024 - 11:13 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 4 months ago. Apr 28, 2024 - 10:24 PDT""}]",This incident affected: Character.AI.
Degraded Performance,https://status.character.ai/incidents/mc9hvd429jqn,#e74c3c,impact-critical,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 5 months ago. Apr 12, 2024 - 09:27 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 5 months ago. Apr 12, 2024 - 09:19 PDT""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""The issue has been identified and a fix is being implemented."", ""Update_Timestamp"": ""Posted 5 months ago. Apr 12, 2024 - 09:17 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 5 months ago. Apr 12, 2024 - 09:04 PDT""}]",This incident affected: Character.AI.
Site down,https://status.character.ai/incidents/nrzlhxt4nw6q,#e74c3c,impact-critical,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 5 months ago. Apr 11, 2024 - 18:15 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 5 months ago. Apr 11, 2024 - 17:49 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 5 months ago. Apr 11, 2024 - 17:35 PDT""}]",This incident affected: Character.AI.
Voice Outage,https://status.character.ai/incidents/9m5pqqytjmgg,#e74c3c,impact-critical,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 5 months ago. Apr 11, 2024 - 14:44 PDT""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We are continuing to monitor for any further issues."", ""Update_Timestamp"": ""Posted 5 months ago. Apr 11, 2024 - 14:16 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 5 months ago. Apr 11, 2024 - 14:10 PDT""}]",This incident affected: Character.AI.
Site Outage,https://status.character.ai/incidents/0q2v1qd3dpc3,#e74c3c,impact-critical,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 5 months ago. Mar 28, 2024 - 12:09 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 5 months ago. Mar 28, 2024 - 11:58 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 5 months ago. Mar 28, 2024 - 11:32 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 5 months ago. Mar 28, 2024 - 11:28 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 5 months ago. Mar 28, 2024 - 11:21 PDT""}]",This incident affected: Character.AI.
Android chat down,https://status.character.ai/incidents/0lrd352s91td,#e67e22,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 6 months ago. Mar 12, 2024 - 20:57 PDT""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""The issue has been identified and a fix is being implemented."", ""Update_Timestamp"": ""Posted 6 months ago. Mar 12, 2024 - 20:38 PDT""}]",This incident affected: Character.AI.
