Incident_Title,Incident_Link,Incident_color,Incident_Impact,Updates,Service
Elevated error rates for davinci fine-tunes,https://status.openai.com/incidents/fwl205bsf8r5,#f4ac36,impact-minor,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""We transiently experienced an elevated error rate on requests for Davinci fine-tuned models starting about 12:15pm PT. The cause was identified as an infrastructural misconfiguration and mitigated by 2pm PT."", ""Update_Timestamp"": ""Posted 1 year ago. May 31, 2023 - 12:00 PDT""}]",
ChatGPT site outage,https://status.openai.com/incidents/79zpcjqlg6f3,#ef4146,impact-critical,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""Elevated database CPU usage was impacting the site over the last several hours, and the underlying issue has been addressed.  We will continue to monitor the site to ensure the issue does not reoccur."", ""Update_Timestamp"": ""Posted 1 year ago. May 25, 2023 - 05:27 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""We have applied a fix and are continuing to monitor."", ""Update_Timestamp"": ""Posted 1 year ago. May 25, 2023 - 05:05 PDT""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We are continuing to investigate this issue."", ""Update_Timestamp"": ""Posted 1 year ago. May 25, 2023 - 04:23 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""ChatGPT is seeing elevated error rates. The root cause has been identified and the team is working on a fix."", ""Update_Timestamp"": ""Posted 1 year ago. May 25, 2023 - 04:23 PDT""}]",This incident affected: ChatGPT.
Multiple engines have elevated error rates,https://status.openai.com/incidents/jbt079x532bg,#ef4146,impact-critical,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""Error rates have returned to normal"", ""Update_Timestamp"": ""Posted 1 year ago. May 24, 2023 - 13:35 PDT""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We're seeing recovering rates for chatgpt.  We're continuing to investigate the issue"", ""Update_Timestamp"": ""Posted 1 year ago. May 24, 2023 - 13:16 PDT""}, {""Update_Title"": ""Update"", ""Update_Body"": ""Whisper and turbo engines are also impacted"", ""Update_Timestamp"": ""Posted 1 year ago. May 24, 2023 - 12:59 PDT""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""Multiple engines, including text-davinci-003, the moderations endpoint, gpt4, and chatgpt are seeing elevated error rates. The root cause has been identified and the team is working on a fix."", ""Update_Timestamp"": ""Posted 1 year ago. May 24, 2023 - 12:44 PDT""}]",This incident affected: API and ChatGPT.
Elevated error rates across all services,https://status.openai.com/incidents/8myhythbkn51,#e86c09,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 1 year ago. May 23, 2023 - 07:42 PDT""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We are continuing to monitor for any further issues."", ""Update_Timestamp"": ""Posted 1 year ago. May 23, 2023 - 07:39 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we're monitoring the results"", ""Update_Timestamp"": ""Posted 1 year ago. May 23, 2023 - 07:10 PDT""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We are continuing to investigate this issue."", ""Update_Timestamp"": ""Posted 1 year ago. May 23, 2023 - 06:41 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 1 year ago. May 23, 2023 - 06:41 PDT""}]","This incident affected: API, ChatGPT, Labs, and Playground."
Elevated error rates for ChatGPT,https://status.openai.com/incidents/967l02ml4zbs,#f4ac36,impact-minor,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""Our systems are fully recovered."", ""Update_Timestamp"": ""Posted 1 year ago. May 18, 2023 - 17:20 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""We\u2019ve implemented a fix and are seeing gradual recovery. We expect to see full recovery soon and are monitoring."", ""Update_Timestamp"": ""Posted 1 year ago. May 18, 2023 - 16:55 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are seeing elevated error rates for some ChatGPT users. We are actively investigating."", ""Update_Timestamp"": ""Posted 1 year ago. May 18, 2023 - 16:50 PDT""}]",This incident affected: ChatGPT.
Elevated error rates for API & ChatGPT,https://status.openai.com/incidents/qq8bygtcgp2k,#f4ac36,impact-minor,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""Our systems are fully recovered. We are implementing fixes to prevent similar issues in the future."", ""Update_Timestamp"": ""Posted 1 year ago. May 18, 2023 - 16:29 PDT""}, {""Update_Title"": ""Update"", ""Update_Body"": ""While our fix is still rolling out to all of our systems, we are seeing error rates return to normal levels for API customers as well as ChatGPT users. We are continuing to monitor."", ""Update_Timestamp"": ""Posted 1 year ago. May 18, 2023 - 15:45 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""We\u2019ve implemented a fix and are seeing gradual recovery. We expect to see full recovery soon and are monitoring."", ""Update_Timestamp"": ""Posted 1 year ago. May 18, 2023 - 15:31 PDT""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""The issue has been identified, and we are working to correct it."", ""Update_Timestamp"": ""Posted 1 year ago. May 18, 2023 - 15:15 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are seeing infrastructure issues and elevated error rates for API customers as well as ChatGPT users. We are actively investigating."", ""Update_Timestamp"": ""Posted 1 year ago. May 18, 2023 - 15:07 PDT""}]",This incident affected: API and ChatGPT.
Elevated error rates affecting gpt-4 and text-davinci-003,https://status.openai.com/incidents/w10wvlpskc7p,#f4ac36,impact-minor,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 1 year ago. May 17, 2023 - 12:47 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 1 year ago. May 17, 2023 - 10:16 PDT""}]",This incident affected: API.
DALL-E outage on labs.openai.com and API,https://status.openai.com/incidents/yjy51r0z6sbm,#ef4146,impact-critical,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""The incident has been resolved, and DALLE API and Labs are back to normal behavior."", ""Update_Timestamp"": ""Posted 1 year ago. May 16, 2023 - 12:21 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 1 year ago. May 16, 2023 - 11:46 PDT""}]",This incident affected: API and Labs.
Outage on DALL-E API,https://status.openai.com/incidents/00py3j1ndcr3,#e86c09,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 1 year ago. May 11, 2023 - 18:54 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented, and we are monitoring the results."", ""Update_Timestamp"": ""Posted 1 year ago. May 11, 2023 - 18:49 PDT""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""The issue has been identified and a fix is being implemented."", ""Update_Timestamp"": ""Posted 1 year ago. May 11, 2023 - 18:44 PDT""}]",This incident affected: API.
Elevated error rates across all services,https://status.openai.com/incidents/wz6ndnqbzgt0,#e86c09,impact-major,"[{""Update_Title"": ""Postmortem"", ""Update_Body"": ""On Wednesday May 12 2023, from approximately 11:45am to 12:10pm GPT-3.5, GPT-3.5 Turbo and GPT-4 models were unavailable due to an incorrect deployment to our safety classifier configuration. Most customers started experiencing errors at 11:55am. After we detected an elevated error rate, we quickly rolled back the configuration change which restored service.\nWe have since fixed our tooling to catch these errors before they hit production. Also, we have added increased alerting to detect these errors more quickly to enable us to roll back faster. Lastly, we have a project already in progress to incrementally deploy changes, so that we can detect and revert errors while only running on a small percentage of traffic. That project will be operational within the quarter."", ""Update_Timestamp"": ""Posted 1 year ago. May 11, 2023 - 17:03 PDT""}, {""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 1 year ago. May 10, 2023 - 12:14 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""The issue has been identified and we are currently investigating."", ""Update_Timestamp"": ""Posted 1 year ago. May 10, 2023 - 12:12 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating an issue affecting multiple services, including chat.openai.com, labs.openai.com, and API services."", ""Update_Timestamp"": ""Posted 1 year ago. May 10, 2023 - 11:59 PDT""}]","This incident affected: API, ChatGPT, and Labs."
