Date,Outages,Outage_Color,Incidents,Service
1 Jun 2024,[],#2fcc66,[],api.anthropic.com
2 Jun 2024,[],#2fcc66,[],api.anthropic.com
3 Jun 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 59}]",#e7c414,"[{""Incident_Title"": ""Haiku Partial Outage"", ""Incident_Link"": ""https://status.anthropic.com/incidents/q44nvw2pmhpt""}, {""Incident_Title"": ""Elevated error rate on Claude 3 Opus"", ""Incident_Link"": ""https://status.anthropic.com/incidents/95hjzp5m60n8""}]",api.anthropic.com
4 Jun 2024,[],#2fcc66,[],api.anthropic.com
5 Jun 2024,[],#2fcc66,[],api.anthropic.com
6 Jun 2024,[],#2fcc66,[],api.anthropic.com
7 Jun 2024,[],#2fcc66,[],api.anthropic.com
8 Jun 2024,[],#2fcc66,[],api.anthropic.com
9 Jun 2024,[],#2fcc66,[],api.anthropic.com
10 Jun 2024,[],#2fcc66,[],api.anthropic.com
11 Jun 2024,[],#2fcc66,"[{""Incident_Title"": ""Elevated error rates on Claude 3 Haiku"", ""Incident_Link"": ""https://status.anthropic.com/incidents/dh75z61fyv1n""}]",api.anthropic.com
12 Jun 2024,[],#2fcc66,[],api.anthropic.com
13 Jun 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 14}]",#a6c731,"[{""Incident_Title"": ""Elevated errors on Haiku"", ""Incident_Link"": ""https://status.anthropic.com/incidents/2vfzrjrysfqy""}]",api.anthropic.com
14 Jun 2024,[],#2fcc66,[],api.anthropic.com
15 Jun 2024,[],#2fcc66,[],api.anthropic.com
16 Jun 2024,[],#2fcc66,[],api.anthropic.com
17 Jun 2024,[],#2fcc66,[],api.anthropic.com
18 Jun 2024,[],#2fcc66,[],api.anthropic.com
19 Jun 2024,[],#2fcc66,[],api.anthropic.com
20 Jun 2024,[],#2fcc66,"[{""Incident_Title"": ""Elevated error rates in the API"", ""Incident_Link"": ""https://status.anthropic.com/incidents/ttsdth94gxz9""}]",api.anthropic.com
21 Jun 2024,[],#2fcc66,"[{""Incident_Title"": ""Degraded claude-3-5-sonnet latency"", ""Incident_Link"": ""https://status.anthropic.com/incidents/dpy9ymcrmltg""}, {""Incident_Title"": ""Degraded performance on Haiku and Sonnet"", ""Incident_Link"": ""https://status.anthropic.com/incidents/jryzc0zn3k8c""}]",api.anthropic.com
22 Jun 2024,[],#2fcc66,[],api.anthropic.com
23 Jun 2024,[],#2fcc66,[],api.anthropic.com
24 Jun 2024,[],#2fcc66,"[{""Incident_Title"": ""Increase error rates on Opus"", ""Incident_Link"": ""https://status.anthropic.com/incidents/k0pfr0kyyzjb""}]",api.anthropic.com
25 Jun 2024,[],#2fcc66,[],api.anthropic.com
26 Jun 2024,[],#2fcc66,[],api.anthropic.com
27 Jun 2024,[],#2fcc66,[],api.anthropic.com
28 Jun 2024,[],#2fcc66,[],api.anthropic.com
29 Jun 2024,[],#2fcc66,[],api.anthropic.com
30 Jun 2024,[],#2fcc66,[],api.anthropic.com
1 Jul 2024,[],#2fcc66,[],api.anthropic.com
2 Jul 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 55}]",#e2c516,"[{""Incident_Title"": ""Elevated error rates in the API"", ""Incident_Link"": ""https://status.anthropic.com/incidents/zcqbpk14kylw""}, {""Incident_Title"": ""3.5 Sonnet Partially Down"", ""Incident_Link"": ""https://status.anthropic.com/incidents/v215b9mp2jx2""}]",api.anthropic.com
3 Jul 2024,[],#2fcc66,[],api.anthropic.com
4 Jul 2024,[],#2fcc66,[],api.anthropic.com
5 Jul 2024,[],#2fcc66,[],api.anthropic.com
6 Jul 2024,[],#2fcc66,[],api.anthropic.com
7 Jul 2024,[],#2fcc66,"[{""Incident_Title"": ""Elevated Errors on Claude 3.5 Sonnet"", ""Incident_Link"": ""https://status.anthropic.com/incidents/6qbj21vdcmpq""}]",api.anthropic.com
8 Jul 2024,[],#2fcc66,[],api.anthropic.com
9 Jul 2024,[],#2fcc66,[],api.anthropic.com
10 Jul 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 13}]",#a3c732,"[{""Incident_Title"": ""Claude 3 Haiku Elevated Error Rates"", ""Incident_Link"": ""https://status.anthropic.com/incidents/gvgs9zlm8ffn""}]",api.anthropic.com
11 Jul 2024,[],#2fcc66,[],api.anthropic.com
12 Jul 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 11}]",#a1c733,"[{""Incident_Title"": ""Haiku and 3.5 Sonnet Partial Outage"", ""Incident_Link"": ""https://status.anthropic.com/incidents/1m34020z39y6""}, {""Incident_Title"": ""Partial unavailability for Claude 3 Haiku and Claude 3.5 Sonnet"", ""Incident_Link"": ""https://status.anthropic.com/incidents/zv1j7d2tnvyw""}]",api.anthropic.com
13 Jul 2024,[],#2fcc66,[],api.anthropic.com
14 Jul 2024,[],#2fcc66,[],api.anthropic.com
15 Jul 2024,[],#2fcc66,[],api.anthropic.com
16 Jul 2024,[],#2fcc66,[],api.anthropic.com
17 Jul 2024,[],#2fcc66,[],api.anthropic.com
18 Jul 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 23}]",#b3c72b,"[{""Incident_Title"": ""Partial outage of Claude-2.0 and Claude-2.1"", ""Incident_Link"": ""https://status.anthropic.com/incidents/2pqj8sfk0rqn""}]",api.anthropic.com
19 Jul 2024,[],#2fcc66,[],api.anthropic.com
20 Jul 2024,[],#2fcc66,[],api.anthropic.com
21 Jul 2024,[],#2fcc66,[],api.anthropic.com
22 Jul 2024,[],#2fcc66,[],api.anthropic.com
23 Jul 2024,[],#2fcc66,[],api.anthropic.com
24 Jul 2024,[],#2fcc66,[],api.anthropic.com
25 Jul 2024,[],#2fcc66,[],api.anthropic.com
26 Jul 2024,[],#2fcc66,[],api.anthropic.com
27 Jul 2024,[],#2fcc66,[],api.anthropic.com
28 Jul 2024,[],#2fcc66,[],api.anthropic.com
29 Jul 2024,[],#2fcc66,[],api.anthropic.com
30 Jul 2024,[],#2fcc66,[],api.anthropic.com
31 Jul 2024,[],#2fcc66,[],api.anthropic.com
