Date,Outages,Outage_Color,Incidents,Service
1 Jun 2024,[],#10a37f,[],api
2 Jun 2024,[],#10a37f,[],api
3 Jun 2024,[],#10a37f,[],api
4 Jun 2024,[],#10a37f,[],api
5 Jun 2024,[],#10a37f,[],api
6 Jun 2024,[],#10a37f,[],api
7 Jun 2024,[],#10a37f,[],api
8 Jun 2024,[],#10a37f,[],api
9 Jun 2024,[],#10a37f,[],api
10 Jun 2024,[],#10a37f,[],api
11 Jun 2024,[],#10a37f,[],api
12 Jun 2024,[],#10a37f,[],api
13 Jun 2024,[],#10a37f,"[{""Incident_Title"": ""Elevated error rate impacting the API"", ""Incident_Link"": ""https://status.openai.com/incidents/2t970r3170nq""}]",api
14 Jun 2024,[],#10a37f,[],api
15 Jun 2024,[],#10a37f,[],api
16 Jun 2024,[],#10a37f,[],api
17 Jun 2024,[],#10a37f,[],api
18 Jun 2024,[],#10a37f,[],api
19 Jun 2024,[],#10a37f,[],api
20 Jun 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 54}]",#e0ab3c,"[{""Incident_Title"": ""Elevated 5xx errors impacting the API"", ""Incident_Link"": ""https://status.openai.com/incidents/sbwl2td13jf9""}]",api
21 Jun 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 22}]",#a9a94e,"[{""Incident_Title"": ""Login issues with SSO impacting some customers"", ""Incident_Link"": ""https://status.openai.com/incidents/rwzw1nvmt4dq""}]",api
22 Jun 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 73}]",#f2a12e,"[{""Incident_Title"": ""Increased error rates impacting API and ChatGPT"", ""Incident_Link"": ""https://status.openai.com/incidents/1fkvf7jj1zzk""}]",api
23 Jun 2024,[],#10a37f,[],api
24 Jun 2024,[],#10a37f,[],api
25 Jun 2024,[],#10a37f,[],api
26 Jun 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 12}]",#98a853,"[{""Incident_Title"": ""Elevated errors in the API and ChatGPT"", ""Incident_Link"": ""https://status.openai.com/incidents/1fq4lzfy1m17""}]",api
27 Jun 2024,[],#10a37f,[],api
28 Jun 2024,[],#10a37f,"[{""Incident_Title"": ""Increased errors on ChatGPT and API."", ""Incident_Link"": ""https://status.openai.com/incidents/9r53pld7szhp""}]",api
29 Jun 2024,[],#10a37f,[],api
30 Jun 2024,[],#10a37f,[],api
1 Jul 2024,[],#10a37f,[],api
2 Jul 2024,[],#10a37f,[],api
3 Jul 2024,[],#10a37f,[],api
4 Jul 2024,[],#10a37f,[],api
5 Jul 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 10}]",#94a855,"[{""Incident_Title"": ""Outage on ChatGPT and API Platform"", ""Incident_Link"": ""https://status.openai.com/incidents/92tyglr0b7tk""}]",api
6 Jul 2024,[],#10a37f,[],api
7 Jul 2024,[],#10a37f,[],api
8 Jul 2024,[],#10a37f,[],api
9 Jul 2024,[],#10a37f,[],api
10 Jul 2024,[],#10a37f,[],api
11 Jul 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 61}]",#ecac39,"[{""Incident_Title"": ""Elevate Errors on Assistants API"", ""Incident_Link"": ""https://status.openai.com/incidents/dtgbfvqmjfm8""}]",api
12 Jul 2024,"[{""Outage_Type"": ""Major outage"", ""Downtime (min)"": 48}]",#ec532d,"[{""Incident_Title"": ""Outage on ChatGPT and Assistants API"", ""Incident_Link"": ""https://status.openai.com/incidents/b0z4bgvlh8z0""}]",api
13 Jul 2024,[],#10a37f,[],api
14 Jul 2024,[],#10a37f,[],api
15 Jul 2024,[],#10a37f,[],api
16 Jul 2024,[],#10a37f,[],api
17 Jul 2024,[],#10a37f,[],api
18 Jul 2024,[],#10a37f,"[{""Incident_Title"": ""Outage on ChatGPT and API Platform"", ""Incident_Link"": ""https://status.openai.com/incidents/cgvtvlvkvfxq""}]",api
19 Jul 2024,[],#10a37f,[],api
20 Jul 2024,[],#10a37f,[],api
21 Jul 2024,[],#10a37f,[],api
22 Jul 2024,[],#10a37f,[],api
23 Jul 2024,[],#10a37f,[],api
24 Jul 2024,[],#10a37f,[],api
25 Jul 2024,[],#10a37f,[],api
26 Jul 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 112}]",#e86b0a,"[{""Incident_Title"": ""Increased latency and error rates affecting GPT-4o mini"", ""Incident_Link"": ""https://status.openai.com/incidents/rq519d4v09bw""}]",api
27 Jul 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 90}]",#ed881d,"[{""Incident_Title"": ""GPT-4o-mini Fine-Tuned Models High Error Rate"", ""Incident_Link"": ""https://status.openai.com/incidents/b2cbq8c9crbs""}]",api
28 Jul 2024,[],#10a37f,[],api
29 Jul 2024,[],#10a37f,[],api
30 Jul 2024,[],#10a37f,[],api
31 Jul 2024,[],#10a37f,"[{""Incident_Title"": ""Elevated error rate while creating fine-tuning jobs"", ""Incident_Link"": ""https://status.openai.com/incidents/2gqshgzt6gpb""}]",api
1 Aug 2024,[],#10a37f,[],api
2 Aug 2024,[],#10a37f,[],api
3 Aug 2024,[],#10a37f,[],api
4 Aug 2024,[],#10a37f,[],api
5 Aug 2024,[],#10a37f,[],api
6 Aug 2024,[],#10a37f,[],api
