Date,Outages,Outage_Color,Incidents,Service
1 Jun 2024,[],#2fcc66,[],console.anthropic.com
2 Jun 2024,[],#2fcc66,[],console.anthropic.com
3 Jun 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 59}]",#e7c414,"[{""Incident_Title"": ""Haiku Partial Outage"", ""Incident_Link"": ""https://status.anthropic.com/incidents/q44nvw2pmhpt""}, {""Incident_Title"": ""Elevated error rate on Claude 3 Opus"", ""Incident_Link"": ""https://status.anthropic.com/incidents/95hjzp5m60n8""}]",console.anthropic.com
4 Jun 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 65}]",#f0c40f,"[{""Incident_Title"": ""Partial Outage on claude.ai and console.anthropic.com"", ""Incident_Link"": ""https://status.anthropic.com/incidents/gm6vlw4gc377""}]",console.anthropic.com
5 Jun 2024,[],#2fcc66,[],console.anthropic.com
6 Jun 2024,[],#2fcc66,[],console.anthropic.com
7 Jun 2024,[],#2fcc66,[],console.anthropic.com
8 Jun 2024,[],#2fcc66,[],console.anthropic.com
9 Jun 2024,[],#2fcc66,[],console.anthropic.com
10 Jun 2024,[],#2fcc66,[],console.anthropic.com
11 Jun 2024,[],#2fcc66,"[{""Incident_Title"": ""Elevated error rates on Claude 3 Haiku"", ""Incident_Link"": ""https://status.anthropic.com/incidents/dh75z61fyv1n""}]",console.anthropic.com
12 Jun 2024,[],#2fcc66,[],console.anthropic.com
13 Jun 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 14}]",#a6c731,"[{""Incident_Title"": ""Elevated errors on Haiku"", ""Incident_Link"": ""https://status.anthropic.com/incidents/2vfzrjrysfqy""}]",console.anthropic.com
14 Jun 2024,[],#2fcc66,[],console.anthropic.com
15 Jun 2024,[],#2fcc66,[],console.anthropic.com
16 Jun 2024,[],#2fcc66,[],console.anthropic.com
17 Jun 2024,[],#2fcc66,[],console.anthropic.com
18 Jun 2024,[],#2fcc66,[],console.anthropic.com
19 Jun 2024,[],#2fcc66,[],console.anthropic.com
20 Jun 2024,[],#2fcc66,"[{""Incident_Title"": ""Elevated errors on Console billing UI"", ""Incident_Link"": ""https://status.anthropic.com/incidents/6y3n60jm23w1""}]",console.anthropic.com
21 Jun 2024,"[{""Outage_Type"": ""Major outage"", ""Downtime (min)"": 75}]",#e74c3c,"[{""Incident_Title"": ""Claude.ai and Console Outage"", ""Incident_Link"": ""https://status.anthropic.com/incidents/vc4jcltdwzg8""}, {""Incident_Title"": ""Elevated error rates in Claude.ai and Console"", ""Incident_Link"": ""https://status.anthropic.com/incidents/t39s5hjpbs9v""}, {""Incident_Title"": ""Degraded performance on Haiku and Sonnet"", ""Incident_Link"": ""https://status.anthropic.com/incidents/jryzc0zn3k8c""}]",console.anthropic.com
22 Jun 2024,[],#2fcc66,[],console.anthropic.com
23 Jun 2024,[],#2fcc66,[],console.anthropic.com
24 Jun 2024,[],#2fcc66,[],console.anthropic.com
25 Jun 2024,[],#2fcc66,[],console.anthropic.com
26 Jun 2024,[],#2fcc66,[],console.anthropic.com
27 Jun 2024,[],#2fcc66,[],console.anthropic.com
28 Jun 2024,[],#2fcc66,[],console.anthropic.com
29 Jun 2024,[],#2fcc66,[],console.anthropic.com
30 Jun 2024,[],#2fcc66,[],console.anthropic.com
1 Jul 2024,[],#2fcc66,"[{""Incident_Title"": ""Elevated errors on Claude.ai"", ""Incident_Link"": ""https://status.anthropic.com/incidents/qkkbd8tzhlvn""}]",console.anthropic.com
