incident_id,Incident_Title,incident_impact_level,Incident_color,provider,Playground,API,Labs,ChatGPT,api.anthropic.com,claude.ai,console.anthropic.com,Character.AI,investigating_flag,investigating_timestamp,investigating_description,identified_flag,identified_timestamp,identified_description,monitoring_flag,monitoring_timestamp,monitoring_description,resolved_flag,resolved_timestamp,resolved_description,postmortem_flag,postmortem_timestamp,postmortem_description,start_timestamp,close_timestamp,time_span,over_one_day
101e51fa54ae,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2023-12-28 11:52:04.455000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2023-12-28 12:52:00+00:00,This incident has been resolved.,0,,,2023-12-28 11:52:04+00:00,2023-12-28 12:52:00+00:00,0 days 00:59:55,False
05dca9722fe0,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2023-12-21 18:40:04.449000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2023-12-21 18:45:25.209000+00:00,A temporary issue caused downtime for the Stable Diffusion 1.6 endpoint.,0,,,2023-12-21 18:40:04+00:00,2023-12-21 18:45:25+00:00,0 days 00:05:20,False
83f2d0e2d59a,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2023-12-18 14:00:05.312000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2023-12-18 16:50:18.194000+00:00,This incident has been resolved.,0,,,2023-12-18 14:00:05+00:00,2023-12-18 16:50:18+00:00,0 days 02:50:12,False
f8c086dd7c56,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,0,,,0,,,0,,,1,2023-12-10 14:40:53.795000+00:00,We have mitigated the errors.,0,,,2023-12-10 14:40:53+00:00,2023-12-10 14:40:53+00:00,0 days 00:00:00,False
a9562a4500cd,REST API Errors,0,#00b093,StabilityAI,0,1,0,0,0,0,0,0,0,,,0,,,0,,,1,2023-12-06 14:20:52.176000+00:00,We have resolved the errors.,0,,,2023-12-06 14:20:52+00:00,2023-12-06 14:20:52+00:00,0 days 00:00:00,False
66cb3ba10d20,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2023-11-30 10:50:52.306000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2023-11-30 11:10:00+00:00,This incident has been resolved.,0,,,2023-11-30 10:50:52+00:00,2023-11-30 11:10:00+00:00,0 days 00:19:07,False
0e80ba4dc674,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2023-11-17 14:15:52.164000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2023-11-17 14:20:00+00:00,This incident has been resolved.,0,,,2023-11-17 14:15:52+00:00,2023-11-17 14:20:00+00:00,0 days 00:04:07,False
c21ca501998d,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2023-11-16 19:48:50.632000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2023-11-16 20:01:03.349000+00:00,SDXL v2.2.2 was briefly disrupted during deprecation of legacy models. Service has now been restored.,0,,,2023-11-16 19:48:50+00:00,2023-11-16 20:01:03+00:00,0 days 00:12:12,False
ebc8d170da77,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2023-11-05 20:32:35.571000+00:00,We are currently investigating elevated error rates detected by our monitoring.,1,2023-11-05 21:13:58.175000+00:00,An issue with one of our inference hosts is resulting in errors on legacy models. SDXL generations appear unaffected at this time.,0,,,1,2023-11-06 01:32:45.518000+00:00,This incident has been resolved.,0,,,2023-11-05 20:32:35+00:00,2023-11-06 01:32:45+00:00,0 days 05:00:09,False
9206d94167ea,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,0,,,1,2023-10-30 20:09:18.422000+00:00,API failures have been traced to an outage with one of our service providers. We will continue monitoring and provide updates as soon as possible.,1,2023-10-30 20:25:44.681000+00:00,We are seeing signs of recovery across all services.,1,2023-10-30 20:37:19.563000+00:00,This incident has been resolved.,0,,,2023-10-30 20:37:19+00:00,2023-10-30 20:37:19+00:00,0 days 00:00:00,False
