Incident_Title,Incident_Link,Incident_color,Incident_Impact,Updates,Service
Elevated Errors,https://status.anthropic.com/incidents/qv89mzdjvtrs,#f1c40f,impact-minor,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 6 months ago. Feb 26, 2024 - 10:21 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 6 months ago. Feb 26, 2024 - 09:41 PST""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""The issue has been identified and a fix is being implemented."", ""Update_Timestamp"": ""Posted 6 months ago. Feb 26, 2024 - 09:37 PST""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We see degraded performance for Claude Instant models, investigating"", ""Update_Timestamp"": ""Posted 6 months ago. Feb 26, 2024 - 09:29 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We're experiencing an elevated level of API errors and are currently looking into the issue."", ""Update_Timestamp"": ""Posted 6 months ago. Feb 26, 2024 - 09:09 PST""}]","This incident affected: claude.ai, console.anthropic.com, and api.anthropic.com."
Elevated error rate on claude.ai,https://status.anthropic.com/incidents/tmsczhzhjd63,#333333,impact-none,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""We experienced an elevated level of errors on claude.ai from 19:52-20:35 UTC."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 16, 2024 - 12:35 PST""}]",
"Elevated error rate on Claude-2.0, Claude-2.1",https://status.anthropic.com/incidents/t6v85cs8j6jb,#333333,impact-none,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 12, 2024 - 20:36 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 12, 2024 - 20:30 PST""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""The issue has been identified and a fix is being implemented."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 12, 2024 - 20:21 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 12, 2024 - 19:59 PST""}]","This incident affected: claude.ai, console.anthropic.com, and api.anthropic.com."
"Elevated error rate on Claude-2.0, Claude-2.1",https://status.anthropic.com/incidents/x5f4s8nvkyqq,#333333,impact-none,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 12, 2024 - 17:26 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 12, 2024 - 16:59 PST""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""The issue has been identified and a fix is being implemented."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 12, 2024 - 16:50 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 12, 2024 - 16:21 PST""}]","This incident affected: claude.ai, console.anthropic.com, and api.anthropic.com."
elevated error rates on claude-instant-1.2,https://status.anthropic.com/incidents/gr7nb0dwyydw,#333333,impact-none,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 05, 2024 - 17:55 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 05, 2024 - 15:58 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 05, 2024 - 15:07 PST""}]","This incident affected: claude.ai, console.anthropic.com, and api.anthropic.com."
Elevated error rate on claude.ai,https://status.anthropic.com/incidents/h1lxbyszyxrq,#333333,impact-none,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 02, 2024 - 19:33 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 02, 2024 - 19:14 PST""}]",This incident affected: claude.ai.
Claude.ai Experienced a Temporary Outage,https://status.anthropic.com/incidents/shhpbrjb160c,#333333,impact-none,"[{""Update_Title"": ""Postmortem"", ""Update_Body"": ""claude.ai was down from 13:33PST - 13:52PST due to a database migration issue. We have added additional safety checks and tests to avoid similar scenarios in the future."", ""Update_Timestamp"": ""Posted 7 months ago. Jan 31, 2024 - 19:37 PST""}, {""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 7 months ago. Jan 31, 2024 - 14:31 PST""}]",This incident affected: claude.ai.
elevated error rates on some models,https://status.anthropic.com/incidents/w3g5jpznssrd,#333333,impact-none,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 7 months ago. Jan 31, 2024 - 11:17 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 7 months ago. Jan 31, 2024 - 09:51 PST""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""The issue has been identified and a fix is being implemented."", ""Update_Timestamp"": ""Posted 7 months ago. Jan 31, 2024 - 09:41 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 7 months ago. Jan 31, 2024 - 09:20 PST""}]","This incident affected: claude.ai, console.anthropic.com, and api.anthropic.com."
elevated error rate on claude-2.1,https://status.anthropic.com/incidents/rqpd1jfqmglp,#333333,impact-none,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 7 months ago. Jan 30, 2024 - 17:11 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 7 months ago. Jan 30, 2024 - 16:58 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 7 months ago. Jan 30, 2024 - 16:51 PST""}]","This incident affected: claude.ai, console.anthropic.com, and api.anthropic.com."
"brief partial outage of claude-instant-1.2, claude-2.1",https://status.anthropic.com/incidents/3667134hg62q,#333333,impact-none,"[{""Update_Title"": ""Postmortem"", ""Update_Body"": ""We will be modifying our load balancing configuration in the coming weeks to prevent this type of issue from recurring."", ""Update_Timestamp"": ""Posted 7 months ago. Jan 29, 2024 - 20:14 PST""}, {""Update_Title"": ""Resolved"", ""Update_Body"": ""claude-instant-1.2 and claude-2.1 were unavailable from roughly 19:56PT - 20:07PT. The issue was due to a misconfigured load balancer configuration that was applied. Issue was resolved as soon as the change was reverted."", ""Update_Timestamp"": ""Posted 7 months ago. Jan 29, 2024 - 20:00 PST""}]",
