Incident_Title,Incident_Link,Incident_color,Incident_Impact,Updates,Service
Increased errors across API and ChatGPT,https://status.openai.com/incidents/q58417g6n5r7,#e86c09,impact-major,"[{""Update_Title"": ""Postmortem"", ""Update_Body"": ""At 11:46 AM PT on Nov 28, some OpenAI services experienced an increased error rate associated with a change to a production database. The issue was identified and at 11:57 AM PT normal operations resumed."", ""Update_Timestamp"": ""Posted 9 months ago. Nov 28, 2023 - 12:05 PST""}, {""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 9 months ago. Nov 28, 2023 - 11:59 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 9 months ago. Nov 28, 2023 - 11:57 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 9 months ago. Nov 28, 2023 - 11:49 PST""}]",This incident affected: API and ChatGPT.
Increased errors during streaming Chat Completions,https://status.openai.com/incidents/xzsbnxzpw1j2,#e86c09,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""From 4:40 PM PT on Monday, Nov 27 to 5:50 AM PT on Tuesday, Nov 28, chat completions models saw a spike in \""server_error\"" errors during streaming. The issue has now been fixed."", ""Update_Timestamp"": ""Posted 9 months ago. Nov 28, 2023 - 05:54 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 9 months ago. Nov 28, 2023 - 05:45 PST""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""The issue has been identified and a fix is being implemented."", ""Update_Timestamp"": ""Posted 9 months ago. Nov 28, 2023 - 05:27 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 9 months ago. Nov 28, 2023 - 05:00 PST""}]",This incident affected: API.
Elevated ChatGPT Errors,https://status.openai.com/incidents/hjkhcq784trv,#e86c09,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""The issue has been resolved."", ""Update_Timestamp"": ""Posted 9 months ago. Nov 23, 2023 - 07:46 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""The issue has been identified and a fix has being implemented. We are continuing to monitor for impact."", ""Update_Timestamp"": ""Posted 9 months ago. Nov 23, 2023 - 06:37 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We're experiencing an elevated level of ChatGPT errors and are currently looking into the issue."", ""Update_Timestamp"": ""Posted 9 months ago. Nov 23, 2023 - 06:31 PST""}]",This incident affected: API and ChatGPT.
Elevated Errors on API and ChatGPT,https://status.openai.com/incidents/n254wyd7nml7,#e86c09,impact-major,"[{""Update_Title"": ""Postmortem"", ""Update_Body"": ""On November 21st, between 1:48 - 5:21 PT a large portion of requests to OpenAI failed. This peaked at a 75% failure rate on paid and free ChatGPT.\nThis outage was triggered by maintenance on a PostgresDB service used by OpenAI\u2019s Primary API service that caused both read replicas to fail at the same time. Although only the read replicas for this database were affected, they are load-bearing, causing request paths dependent on them to fail. The Primary API service provides user authentication and service-to-service authentication across the entire OpenAI stack.\nAfter multiple unsuccessful attempts to both revive either of the failed replicas, as well as to bring up replacements in other regions, the issue was ultimately mitigated by working with our service provider to bring two new replicas in the same region into service.\n\u200c\nAs part of the incident response, we have already implemented the following measures:\nA moratorium on similar maintenance activities till further notice.\nAdjusted configuration settings to reduce connection churn.\nAdded a feature flag which lets us shift traffic away from replicas on a percentage based rollout\nWe have tested directing 100% of the queries to the primary instance and verified our hypothesis of why the primary failed.\n\u200c\nAdditionally, we will be implementing the following changes to prevent future similar incidents altogether:\nFundamentally OpenAI needs to ensure that maintenance windows do not result in widespread service outages. To that end we will:\nEstablish a pre-maintenance review process to review all upcoming maintenance activities to ensure that in the event of an unexpected outage, a plan to rapidly recover is in place.\nEnsure adequate buffer capacity is available as \u201chot\u201d standbys during maintenance activity.\nEnsure adequate buffer capacity is available in regions where critical services are hosted.\nThe DB maintenance caused the replicas to go offline/out of sync which led to replica lag increasing unboundedly. Develop (short term) strategy / automation for rapidly recovering from replica lag and (long term) architectural changes to eliminate this factor.\nExamine our entire infrastructure and services stack to ensure we add more redundancy and fail safe mechanisms for greater resilience.\nWe know that extended API outages affect our customers\u2019 products and business, and outages of this magnitude are particularly damaging. While we came up short here, we are committed to preventing such incidents in the future and improving our service reliability."", ""Update_Timestamp"": ""Posted 9 months ago. Dec 01, 2023 - 15:25 PST""}, {""Update_Title"": ""Resolved"", ""Update_Body"": ""We are back up and everything should be working as expected. We are monitoring closely to ensure you have full service. We plan to publish a public postmortem to explain what happened and how we'll prevent similar issues in the future."", ""Update_Timestamp"": ""Posted 9 months ago. Nov 21, 2023 - 17:46 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""We are back up and everything should be working as expected. We are monitoring closely to ensure you have full service. We plan to publish a public postmortem to explain what happened and how we'll prevent similar issues in the future."", ""Update_Timestamp"": ""Posted 9 months ago. Nov 21, 2023 - 17:30 PST""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We are continuing to work on a fix; we have several improvements in-flight to help restore full access, and will keep you updated here."", ""Update_Timestamp"": ""Posted 9 months ago. Nov 21, 2023 - 16:33 PST""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We're continuing to work on a fix. The underlying issue is due to an issue with our database replicas. ChatGPT and non-completion API endpoints are partially impacted, while completion API endpoints including chat completions are only minimally impacted. We will post as we have more updates."", ""Update_Timestamp"": ""Posted 9 months ago. Nov 21, 2023 - 15:29 PST""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""The issue has been identified and a fix is being implemented."", ""Update_Timestamp"": ""Posted 9 months ago. Nov 21, 2023 - 14:14 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We're experiencing an elevated level of API errors and are currently looking into the issue."", ""Update_Timestamp"": ""Posted 9 months ago. Nov 21, 2023 - 14:09 PST""}]",This incident affected: API and ChatGPT.
"Degraded API performance for TTS, Whisper, and Fine-tuning inference",https://status.openai.com/incidents/ps5q1yfn7794,#f4ac36,impact-minor,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 10 months ago. Nov 16, 2023 - 12:37 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 10 months ago. Nov 16, 2023 - 11:57 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We're experiencing degraded performance for TTS, Whisper, and Fine-tuned babbage-002 and davinci-002 models and are currently looking into the issue."", ""Update_Timestamp"": ""Posted 10 months ago. Nov 16, 2023 - 11:16 PST""}]",This incident affected: API.
Elevated DALLE API Errors,https://status.openai.com/incidents/cmf2z1kq9b35,#e86c09,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 10 months ago. Nov 16, 2023 - 09:05 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 10 months ago. Nov 16, 2023 - 08:42 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We're experiencing an elevated level of DALLE API and Labs errors and are currently looking into the issue."", ""Update_Timestamp"": ""Posted 10 months ago. Nov 16, 2023 - 07:58 PST""}]",This incident affected: API and Labs.
Fine-tuning jobs are experiencing delays in processing,https://status.openai.com/incidents/z0qhlt6ms67k,#e86c09,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""A fix has been deployed and fine-tuning jobs are being processed normally."", ""Update_Timestamp"": ""Posted 10 months ago. Nov 15, 2023 - 12:49 PST""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""The issue has been identified and a fix is being deployed"", ""Update_Timestamp"": ""Posted 10 months ago. Nov 15, 2023 - 12:14 PST""}]",This incident affected: API.
Elevated error rates on DALLE API and Labs,https://status.openai.com/incidents/m1fn86ksw0q1,#e86c09,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 10 months ago. Nov 15, 2023 - 07:15 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 10 months ago. Nov 15, 2023 - 07:05 PST""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""The issue has been identified and a fix is being implemented."", ""Update_Timestamp"": ""Posted 10 months ago. Nov 15, 2023 - 06:53 PST""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We are continuing to investigate this issue."", ""Update_Timestamp"": ""Posted 10 months ago. Nov 15, 2023 - 04:46 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating elevated error rates for DALLE API and Labs generations"", ""Update_Timestamp"": ""Posted 10 months ago. Nov 15, 2023 - 04:38 PST""}]",This incident affected: API and Labs.
Elevated error rates for davinci-002 and babbage-002 fine-tuning jobs,https://status.openai.com/incidents/t3zhdlrvcrpl,#f4ac36,impact-minor,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""We experienced a period of elevated error rates and increased processing delays for fine-tuning jobs on the `babbage-002` and `davinci-002` models. The root cause has been identified and a fix implemented. Jobs for these two models are processing normally, and jobs for other models (`gpt-3.5-turbo-0613`, etc) were not impacted."", ""Update_Timestamp"": ""Posted 10 months ago. Nov 15, 2023 - 00:35 PST""}]",This incident affected: API.
"Labs, API, ChatGPT, and Platform.openai.com are inaccessible",https://status.openai.com/incidents/xlqxj2ncx6nh,#ef4146,impact-critical,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""Systems are back to working normally"", ""Update_Timestamp"": ""Posted 10 months ago. Nov 11, 2023 - 22:44 PST""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""We've identified the root cause and are working on a fix."", ""Update_Timestamp"": ""Posted 10 months ago. Nov 11, 2023 - 22:15 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""OpenAI API endpoints, Labs, the Playground, and ChatGPT are down. We're investigating"", ""Update_Timestamp"": ""Posted 10 months ago. Nov 11, 2023 - 21:57 PST""}]","This incident affected: API, ChatGPT, Labs, and Playground."
