Incident_Title,Incident_Link,Incident_color,Incident_Impact,Updates,Service
REST API Errors,https://stabilityai.instatus.com/clqp5aee41653456g2mwhcmmzygi,#ff8c00,2,"[{'Update_Title': 'Resolved', 'Update_Body': 'This incident has been resolved.', 'Update_Timestamp': '2023-12-28T12:52:00.000Z'}, {'Update_Title': 'Investigating', 'Update_Body': 'We are currently investigating elevated error rates detected by our monitoring.', 'Update_Timestamp': '2023-12-28T11:52:04.455Z'}]",This incident affected: REST API
REST API Errors,https://stabilityai.instatus.com/clqfjs4lo448376tmmweg63co5d,#ff8c00,2,"[{'Update_Title': 'Resolved', 'Update_Body': 'A temporary issue caused downtime for the Stable Diffusion 1.6 endpoint.', 'Update_Timestamp': '2023-12-21T18:45:25.209Z'}, {'Update_Title': 'Investigating', 'Update_Body': 'We are currently investigating elevated error rates detected by our monitoring.', 'Update_Timestamp': '2023-12-21T18:40:04.449Z'}]",This incident affected: REST API
REST API Errors,https://stabilityai.instatus.com/clqazgib11492842i6oja9jasg56,#ff8c00,2,"[{'Update_Title': 'Resolved', 'Update_Body': 'This incident has been resolved.', 'Update_Timestamp': '2023-12-18T16:50:18.194Z'}, {'Update_Title': 'Investigating', 'Update_Body': 'We are currently investigating elevated error rates detected by our monitoring.', 'Update_Timestamp': '2023-12-18T14:00:05.312Z'}]",This incident affected: REST API
REST API Errors,https://stabilityai.instatus.com/clpzle68d457052hlojyadut8rp,#ff8c00,2,"[{'Update_Title': 'Resolved', 'Update_Body': 'We have mitigated the errors.', 'Update_Timestamp': '2023-12-10T14:40:53.795Z'}]",This incident affected: REST API
REST API Errors,https://stabilityai.instatus.com/clptux0e91238682hdn6xfy4ar0f,#00b093,0,"[{'Update_Title': 'Resolved', 'Update_Body': 'We have resolved the errors.', 'Update_Timestamp': '2023-12-06T14:20:52.176Z'}]",This incident affected: REST API
REST API Errors,https://stabilityai.instatus.com/clpl2ru9w289027hdnae4cj0ahl,#ff8c00,2,"[{'Update_Title': 'Resolved', 'Update_Body': 'This incident has been resolved.', 'Update_Timestamp': '2023-11-30T11:10:00.000Z'}, {'Update_Title': 'Investigating', 'Update_Body': 'We are currently investigating elevated error rates detected by our monitoring.', 'Update_Timestamp': '2023-11-30T10:50:52.306Z'}]",This incident affected: REST API
REST API Errors,https://stabilityai.instatus.com/clp2pde8a1273056hbof3qijm8ww,#ff8c00,2,"[{'Update_Title': 'Resolved', 'Update_Body': 'This incident has been resolved.', 'Update_Timestamp': '2023-11-17T14:20:00.000Z'}, {'Update_Title': 'Investigating', 'Update_Body': 'We are currently investigating elevated error rates detected by our monitoring.', 'Update_Timestamp': '2023-11-17T14:15:52.164Z'}]",This incident affected: REST API
REST API Errors,https://stabilityai.instatus.com/clp1ltr1u145293hrlr70ycpw2u,#ff8c00,2,"[{'Update_Title': 'Resolved', 'Update_Body': 'SDXL v2.2.2 was briefly disrupted during deprecation of legacy models. Service has now been restored.', 'Update_Timestamp': '2023-11-16T20:01:03.349Z'}, {'Update_Title': 'Investigating', 'Update_Body': 'We are currently investigating elevated error rates detected by our monitoring.', 'Update_Timestamp': '2023-11-16T19:48:50.632Z'}]",This incident affected: REST API
REST API Errors,https://stabilityai.instatus.com/clolxjn4p415458e7ohxsonxpih,#ff8c00,2,"[{'Update_Title': 'Resolved', 'Update_Body': 'This incident has been resolved.', 'Update_Timestamp': '2023-11-06T01:32:45.518Z'}, {'Update_Title': 'Identified', 'Update_Body': 'An issue with one of our inference hosts is resulting in errors on legacy models. SDXL generations appear unaffected at this time.', 'Update_Timestamp': '2023-11-05T21:13:58.175Z'}, {'Update_Title': 'Investigating', 'Update_Body': 'We are currently investigating elevated error rates detected by our monitoring.', 'Update_Timestamp': '2023-11-05T20:32:35.571Z'}]",This incident affected: REST API
REST API Errors,https://stabilityai.instatus.com/clodc2l2t221941ilmzvc63unuj,#ff8c00,2,"[{'Update_Title': 'Resolved', 'Update_Body': 'This incident has been resolved.', 'Update_Timestamp': '2023-10-30T20:37:19.563Z'}, {'Update_Title': 'Update', 'Update_Body': 'An upstream fix has been made, we are continuing to monitor.', 'Update_Timestamp': '2023-10-30T20:35:44.932Z'}, {'Update_Title': 'Monitoring', 'Update_Body': 'We are seeing signs of recovery across all services.', 'Update_Timestamp': '2023-10-30T20:25:44.681Z'}, {'Update_Title': 'Identified', 'Update_Body': 'API failures have been traced to an outage with one of our service providers. We will continue monitoring and provide updates as soon as possible.', 'Update_Timestamp': '2023-10-30T20:09:18.422Z'}]",This incident affected: REST API
REST API Errors,https://stabilityai.instatus.com/clo3cv678322575hpocm1rjmthh,#ff8c00,2,"[{'Update_Title': 'Resolved', 'Update_Body': ""Ongoing efforts to address the root cause of yesterday's issue caused a brief disruption in service."", 'Update_Timestamp': '2023-10-23T20:48:00.000Z'}, {'Update_Title': 'Investigating', 'Update_Body': 'We are currently investigating elevated error rates detected by our monitoring.', 'Update_Timestamp': '2023-10-23T20:33:50.383Z'}]",This incident affected: REST API
REST API Errors,https://stabilityai.instatus.com/clo1u8vcp924220hpojm3dbeq23,#ff8c00,2,"[{'Update_Title': 'Resolved', 'Update_Body': 'This incident has been resolved.', 'Update_Timestamp': '2023-10-22T20:06:45.510Z'}, {'Update_Title': 'Monitoring', 'Update_Body': 'A network failure on our backend systems caused an interruption in service for some users. We have resolved the underlying issue and are monitoring to ensure systems recover.', 'Update_Timestamp': '2023-10-22T19:59:15.084Z'}, {'Update_Title': 'Investigating', 'Update_Body': 'We are currently investigating elevated error rates detected by our monitoring.', 'Update_Timestamp': '2023-10-22T19:04:50.640Z'}]",This incident affected: REST API
REST API Errors,https://stabilityai.instatus.com/clnt322cd21924i4oik0k3szug,#ff8c00,2,"[{'Update_Title': 'Resolved', 'Update_Body': 'This incident has been resolved.', 'Update_Timestamp': '2023-10-16T16:41:00.000Z'}, {'Update_Title': 'Investigating', 'Update_Body': 'We are currently investigating elevated error rates detected by our monitoring.', 'Update_Timestamp': '2023-10-16T16:01:34.068Z'}]",This incident affected: REST API
REST API Errors,https://stabilityai.instatus.com/clnmnyj871232179h7lm1v9rqqui,#ff8c00,2,"[{'Update_Title': 'Resolved', 'Update_Body': 'This incident has been resolved.', 'Update_Timestamp': '2023-10-12T04:13:26.568Z'}, {'Update_Title': 'Investigating', 'Update_Body': 'We are currently investigating elevated error rates detected by our monitoring.', 'Update_Timestamp': '2023-10-12T04:12:18.020Z'}]",This incident affected: REST API
REST API Errors,https://stabilityai.instatus.com/clnm7tm2y310522htlmaxs8w67l,#ff8c00,2,"[{'Update_Title': 'Resolved', 'Update_Body': 'We identified & resolved an issue caused by an update which was impacting a small percentage of requests.', 'Update_Timestamp': '2023-10-11T22:05:00.000Z'}, {'Update_Title': 'Investigating', 'Update_Body': 'We are currently investigating elevated error rates detected by our monitoring.', 'Update_Timestamp': '2023-10-11T20:40:34.583Z'}]",This incident affected: REST API
REST API Errors,https://stabilityai.instatus.com/clnm13txm310549hyomwqu675b3,#ff8c00,2,"[{'Update_Title': 'Resolved', 'Update_Body': 'This incident has been resolved.', 'Update_Timestamp': '2023-10-11T17:37:17.605Z'}, {'Update_Title': 'Investigating', 'Update_Body': 'We are currently investigating elevated error rates detected by our monitoring.', 'Update_Timestamp': '2023-10-11T17:32:34.012Z'}]",This incident affected: REST API
REST API Errors,https://stabilityai.instatus.com/clnkvhmud236591i7obgq35ypoo,#ff8c00,2,"[{'Update_Title': 'Resolved', 'Update_Body': 'This incident has been resolved.', 'Update_Timestamp': '2023-10-10T22:20:12.550Z'}, {'Update_Title': 'Investigating', 'Update_Body': 'We are currently investigating elevated error rates detected by our monitoring.', 'Update_Timestamp': '2023-10-10T22:07:34.165Z'}]",This incident affected: REST API
REST API Errors,https://stabilityai.instatus.com/clnbxlf7p1222078hzn2vpx27bw1,#ff8c00,2,"[{'Update_Title': 'Resolved', 'Update_Body': 'This incident has been resolved.', 'Update_Timestamp': '2023-10-04T16:06:39.448Z'}, {'Update_Title': 'Investigating', 'Update_Body': 'We are currently investigating elevated error rates detected by our monitoring.', 'Update_Timestamp': '2023-10-04T15:56:34.515Z'}]",This incident affected: REST API
