Incident_Title,Incident_Link,Incident_color,Incident_Impact,Updates,Service
Increased latency for some endpoints,https://stabilityai.instatus.com/cm0z0tc8z001yqifrk1kxpbu9,#ecc94b,1,"[{'Update_Title': 'Resolved', 'Update_Body': 'This incident has been resolved.', 'Update_Timestamp': '2024-09-12T12:53:48.202Z'}, {'Update_Title': 'Identified', 'Update_Body': 'Due to high demand, the following V2 API endpoints are experiencing delays running inference. Please increase client side timeouts if you are receiving errors. We are working to address the issues.\nAll upscale endpoints (conservative, creative, fast)\nStable Image Edit - Outpaint', 'Update_Timestamp': '2024-09-12T08:21:24.531Z'}]",This incident affected: REST API and gRPC API
REST API Errors,https://stabilityai.instatus.com/cm0edh68h00i3jljdv09tmmuv,#ff8c00,2,"[{'Update_Title': 'Resolved', 'Update_Body': 'This incident has been resolved.', 'Update_Timestamp': '2024-08-28T22:00:00.000Z'}, {'Update_Title': 'Investigating', 'Update_Body': 'We are currently investigating elevated error rates detected by our monitoring.', 'Update_Timestamp': '2024-08-28T21:32:52.838Z'}]",This incident affected: REST API
Stable Assistant Partial Outage,https://stabilityai.instatus.com/cm0e36ahv000dgrp4pnbix816,#ff8c00,2,"[{'Update_Title': 'Resolved', 'Update_Body': 'This incident has been resolved.', 'Update_Timestamp': '2024-08-28T18:18:14.438Z'}, {'Update_Title': 'Monitoring', 'Update_Body': 'We implemented a fix and are currently monitoring the result.', 'Update_Timestamp': '2024-08-28T16:44:28.762Z'}]",This incident affected: Stable Assistant
REST API Errors (SDXL 1.0),https://stabilityai.instatus.com/cm0b4ucll0007f6a2avw05u61,#ff8c00,2,"[{'Update_Title': 'Resolved', 'Update_Body': 'This incident has been resolved.', 'Update_Timestamp': '2024-08-26T16:16:12.972Z'}, {'Update_Title': 'Investigating', 'Update_Body': 'We are currently investigating elevated error rates detected by our monitoring.', 'Update_Timestamp': '2024-08-26T15:07:52.533Z'}]",This incident affected: REST API
REST API Errors,https://stabilityai.instatus.com/cm05hl8e80002mcakbkzmdtza,#ff8c00,2,"[{'Update_Title': 'Resolved', 'Update_Body': 'This incident has been resolved.', 'Update_Timestamp': '2024-08-23T04:40:00.000Z'}, {'Update_Title': 'Investigating', 'Update_Body': 'We are currently investigating elevated error rates detected by our monitoring.', 'Update_Timestamp': '2024-08-22T16:18:05.144Z'}]",This incident affected: REST API
REST API Errors,https://stabilityai.instatus.com/cm02cp5yx00lmecfjt1fu65hl,#ff8c00,2,"[{'Update_Title': 'Resolved', 'Update_Body': 'This incident has been resolved.', 'Update_Timestamp': '2024-08-20T12:41:11.489Z'}, {'Update_Title': 'Investigating', 'Update_Body': 'We are currently investigating elevated error rates detected by our monitoring.', 'Update_Timestamp': '2024-08-20T11:37:52.004Z'}]",This incident affected: REST API
REST API Errors,https://stabilityai.instatus.com/clzh497d2773259qbn9lv5mhscj,#ff8c00,2,"[{'Update_Title': 'Resolved', 'Update_Body': 'This incident has been resolved.', 'Update_Timestamp': '2024-08-05T15:06:00.000Z'}, {'Update_Title': 'Investigating', 'Update_Body': 'We are currently investigating elevated error rates detected by our monitoring.', 'Update_Timestamp': '2024-08-05T14:58:20.702Z'}]",This incident affected: REST API
REST API SD3 Endpoint Outage,https://stabilityai.instatus.com/clzd1197p120115von1lqb3n87u,#ff8c00,2,"[{'Update_Title': 'Resolved', 'Update_Body': 'This incident has been resolved.', 'Update_Timestamp': '2024-08-02T20:21:08.128Z'}, {'Update_Title': 'Monitoring', 'Update_Body': 'We implemented a fix and are currently monitoring the result.', 'Update_Timestamp': '2024-08-02T18:23:11.568Z'}, {'Update_Title': 'Investigating', 'Update_Body': 'We are currently investigating this incident.', 'Update_Timestamp': '2024-08-02T18:17:06.096Z'}]",This incident affected: REST API
REST API Errors,https://stabilityai.instatus.com/clzc6u7dw100977kknf2nn3hfhw,#ff8c00,2,"[{'Update_Title': 'Resolved', 'Update_Body': 'We are currently investigating elevated error rates detected by our monitoring.', 'Update_Timestamp': '2024-08-02T04:11:48.844Z'}]",This incident affected: REST API
REST API Errors,https://stabilityai.instatus.com/clyua7jr77393i2n6z9ehw5vd,#8f485d,4,"[{'Update_Title': 'Resolved', 'Update_Body': 'This incident has been resolved.', 'Update_Timestamp': '2024-07-20T18:35:00.000Z'}, {'Update_Title': 'Investigating', 'Update_Body': 'We are currently investigating elevated error rates detected by our monitoring.', 'Update_Timestamp': '2024-07-20T15:26:19.088Z'}]",This incident affected: REST API
REST API Errors,https://stabilityai.instatus.com/clygrsy88143664e3oeurc480z0,#ff8c00,2,"[{'Update_Title': 'Resolved', 'Update_Body': 'This incident has been resolved.', 'Update_Timestamp': '2024-07-11T05:50:00.000Z'}, {'Update_Title': 'Investigating', 'Update_Body': 'We are currently investigating elevated error rates detected by our monitoring.', 'Update_Timestamp': '2024-07-11T04:30:04.632Z'}]",This incident affected: REST API
