Date,Outages,Outage_Color,Incidents,Service
1 Jun 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 243}]",#e74c3c,"[{""Incident_Title"": ""Partial outage"", ""Incident_Link"": ""https://status.character.ai/incidents/vqdq2k8l41ly""}]",character.ai
2 Jun 2024,[],#2fcc66,[],character.ai
3 Jun 2024,[],#2fcc66,[],character.ai
4 Jun 2024,[],#2fcc66,[],character.ai
5 Jun 2024,[],#2fcc66,[],character.ai
6 Jun 2024,"[{""Outage_Type"": ""Major outage"", ""Downtime (min)"": 58}]",#e74e3b,"[{""Incident_Title"": ""Outage"", ""Incident_Link"": ""https://status.character.ai/incidents/vl10lv6p5szc""}]",character.ai
7 Jun 2024,[],#2fcc66,[],character.ai
8 Jun 2024,[],#2fcc66,[],character.ai
9 Jun 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 10}]",#9fc734,"[{""Incident_Title"": ""Partial outage"", ""Incident_Link"": ""https://status.character.ai/incidents/n50ntqp72qjm""}]",character.ai
10 Jun 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 367}]",#e74c3c,"[{""Incident_Title"": ""Investigating various outage reports"", ""Incident_Link"": ""https://status.character.ai/incidents/tm4dypfx8n4f""}]",character.ai
11 Jun 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 26}]",#b6c629,"[{""Incident_Title"": ""Investigating various outage reports"", ""Incident_Link"": ""https://status.character.ai/incidents/tm4dypfx8n4f""}]",character.ai
12 Jun 2024,[],#2fcc66,[],character.ai
13 Jun 2024,[],#2fcc66,[],character.ai
14 Jun 2024,[],#2fcc66,[],character.ai
15 Jun 2024,[],#2fcc66,[],character.ai
16 Jun 2024,[],#2fcc66,[],character.ai
17 Jun 2024,[],#2fcc66,[],character.ai
18 Jun 2024,[],#2fcc66,[],character.ai
19 Jun 2024,[],#2fcc66,[],character.ai
20 Jun 2024,[],#2fcc66,[],character.ai
21 Jun 2024,[],#2fcc66,[],character.ai
22 Jun 2024,[],#2fcc66,[],character.ai
23 Jun 2024,[],#2fcc66,[],character.ai
24 Jun 2024,[],#2fcc66,[],character.ai
