Date,Outages,Outage_Color,Incidents,Service
1 Jun 2024,[],#10a37f,[],chatgpt
2 Jun 2024,[],#10a37f,[],chatgpt
3 Jun 2024,[],#10a37f,"[{""Incident_Title"": ""Mobile Chat Prompts with Images Are Not Working"", ""Incident_Link"": ""https://status.openai.com/incidents/8gc22x8b040k""}, {""Incident_Title"": ""Increased latency affecting ChatGPT"", ""Incident_Link"": ""https://status.openai.com/incidents/rw6cy1k95c57""}]",chatgpt
4 Jun 2024,"[{""Outage_Type"": ""Major outage"", ""Downtime (min)"": 329}]",#ef4146,"[{""Incident_Title"": ""ChatGPT is unavailable for some users."", ""Incident_Link"": ""https://status.openai.com/incidents/qvp3rhvc3vwk""}, {""Incident_Title"": ""ChatGPT is unavailable for some users."", ""Incident_Link"": ""https://status.openai.com/incidents/rs49lmsh6xxw""}]",chatgpt
5 Jun 2024,[],#10a37f,[],chatgpt
6 Jun 2024,[],#10a37f,[],chatgpt
7 Jun 2024,[],#10a37f,"[{""Incident_Title"": ""Workspace Analytics for ChatGPT Enterprise experiencing errors impacting some users"", ""Incident_Link"": ""https://status.openai.com/incidents/wm6xf3k9jmxg""}, {""Incident_Title"": ""Elevated error rate impacting ChatGPT vision"", ""Incident_Link"": ""https://status.openai.com/incidents/0q5dq6h5j57p""}]",chatgpt
8 Jun 2024,[],#10a37f,"[{""Incident_Title"": ""Workspace Analytics for ChatGPT Enterprise experiencing errors impacting some users"", ""Incident_Link"": ""https://status.openai.com/incidents/wm6xf3k9jmxg""}]",chatgpt
9 Jun 2024,[],#10a37f,"[{""Incident_Title"": ""Workspace Analytics for ChatGPT Enterprise experiencing errors impacting some users"", ""Incident_Link"": ""https://status.openai.com/incidents/wm6xf3k9jmxg""}]",chatgpt
10 Jun 2024,[],#10a37f,"[{""Incident_Title"": ""Workspace Analytics for ChatGPT Enterprise experiencing errors impacting some users"", ""Incident_Link"": ""https://status.openai.com/incidents/wm6xf3k9jmxg""}]",chatgpt
11 Jun 2024,[],#10a37f,[],chatgpt
12 Jun 2024,[],#10a37f,[],chatgpt
13 Jun 2024,[],#10a37f,[],chatgpt
14 Jun 2024,[],#10a37f,[],chatgpt
15 Jun 2024,[],#10a37f,[],chatgpt
16 Jun 2024,[],#10a37f,[],chatgpt
17 Jun 2024,[],#10a37f,"[{""Incident_Title"": ""Elevated errors on ChatGPT"", ""Incident_Link"": ""https://status.openai.com/incidents/hrs6n7lcr2mm""}]",chatgpt
18 Jun 2024,[],#10a37f,[],chatgpt
19 Jun 2024,[],#10a37f,[],chatgpt
20 Jun 2024,[],#10a37f,[],chatgpt
21 Jun 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 22}]",#a9a94e,"[{""Incident_Title"": ""Login issues with SSO impacting some customers"", ""Incident_Link"": ""https://status.openai.com/incidents/rwzw1nvmt4dq""}]",chatgpt
22 Jun 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 19}]",#a3a950,"[{""Incident_Title"": ""Increased error rates impacting API and ChatGPT"", ""Incident_Link"": ""https://status.openai.com/incidents/1fkvf7jj1zzk""}]",chatgpt
23 Jun 2024,[],#10a37f,[],chatgpt
24 Jun 2024,[],#10a37f,[],chatgpt
25 Jun 2024,[],#10a37f,[],chatgpt
26 Jun 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 12}]",#98a853,"[{""Incident_Title"": ""Elevated errors in the API and ChatGPT"", ""Incident_Link"": ""https://status.openai.com/incidents/1fq4lzfy1m17""}]",chatgpt
27 Jun 2024,[],#10a37f,[],chatgpt
28 Jun 2024,[],#10a37f,"[{""Incident_Title"": ""Increased errors on ChatGPT and API."", ""Incident_Link"": ""https://status.openai.com/incidents/9r53pld7szhp""}]",chatgpt
29 Jun 2024,[],#10a37f,[],chatgpt
30 Jun 2024,[],#10a37f,[],chatgpt
1 Jul 2024,[],#10a37f,[],chatgpt
2 Jul 2024,[],#10a37f,[],chatgpt
3 Jul 2024,[],#10a37f,[],chatgpt
