Date,Outages,Outage_Color,Incidents,Service
1 Jun 2024,[],#2fcc66,[],claude.ai
2 Jun 2024,[],#2fcc66,[],claude.ai
3 Jun 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 59}]",#e7c414,"[{""Incident_Title"": ""Haiku Partial Outage"", ""Incident_Link"": ""https://status.anthropic.com/incidents/q44nvw2pmhpt""}, {""Incident_Title"": ""Elevated error rate on Claude 3 Opus"", ""Incident_Link"": ""https://status.anthropic.com/incidents/95hjzp5m60n8""}]",claude.ai
4 Jun 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 111}]",#e67d23,"[{""Incident_Title"": ""Partial Outage on claude.ai and console.anthropic.com"", ""Incident_Link"": ""https://status.anthropic.com/incidents/gm6vlw4gc377""}]",claude.ai
5 Jun 2024,[],#2fcc66,[],claude.ai
6 Jun 2024,[],#2fcc66,[],claude.ai
7 Jun 2024,[],#2fcc66,[],claude.ai
8 Jun 2024,[],#2fcc66,[],claude.ai
9 Jun 2024,[],#2fcc66,[],claude.ai
10 Jun 2024,[],#2fcc66,[],claude.ai
11 Jun 2024,[],#2fcc66,"[{""Incident_Title"": ""Elevated error rates on Claude 3 Haiku"", ""Incident_Link"": ""https://status.anthropic.com/incidents/dh75z61fyv1n""}]",claude.ai
12 Jun 2024,[],#2fcc66,[],claude.ai
13 Jun 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 14}]",#a6c731,"[{""Incident_Title"": ""Elevated errors on Haiku"", ""Incident_Link"": ""https://status.anthropic.com/incidents/2vfzrjrysfqy""}]",claude.ai
14 Jun 2024,[],#2fcc66,[],claude.ai
15 Jun 2024,[],#2fcc66,[],claude.ai
16 Jun 2024,[],#2fcc66,[],claude.ai
17 Jun 2024,[],#2fcc66,[],claude.ai
18 Jun 2024,[],#2fcc66,"[{""Incident_Title"": ""Partial disruption for text attachments"", ""Incident_Link"": ""https://status.anthropic.com/incidents/r8dfsq0893sn""}]",claude.ai
19 Jun 2024,[],#2fcc66,[],claude.ai
20 Jun 2024,[],#2fcc66,[],claude.ai
21 Jun 2024,"[{""Outage_Type"": ""Major outage"", ""Downtime (min)"": 75}]",#e74c3c,"[{""Incident_Title"": ""Claude.ai and Console Outage"", ""Incident_Link"": ""https://status.anthropic.com/incidents/vc4jcltdwzg8""}, {""Incident_Title"": ""Degraded claude-3-5-sonnet latency"", ""Incident_Link"": ""https://status.anthropic.com/incidents/dpy9ymcrmltg""}, {""Incident_Title"": ""Elevated error rates in Claude.ai and Console"", ""Incident_Link"": ""https://status.anthropic.com/incidents/t39s5hjpbs9v""}, {""Incident_Title"": ""Degraded performance on Haiku and Sonnet"", ""Incident_Link"": ""https://status.anthropic.com/incidents/jryzc0zn3k8c""}]",claude.ai
22 Jun 2024,[],#2fcc66,[],claude.ai
23 Jun 2024,[],#2fcc66,[],claude.ai
24 Jun 2024,[],#2fcc66,[],claude.ai
25 Jun 2024,[],#2fcc66,[],claude.ai
26 Jun 2024,[],#2fcc66,[],claude.ai
27 Jun 2024,[],#2fcc66,[],claude.ai
28 Jun 2024,[],#2fcc66,"[{""Incident_Title"": ""Claude.ai iOS logins unavailable"", ""Incident_Link"": ""https://status.anthropic.com/incidents/8p49xrt1lmzy""}]",claude.ai
29 Jun 2024,[],#2fcc66,[],claude.ai
30 Jun 2024,[],#2fcc66,[],claude.ai
1 Jul 2024,[],#2fcc66,"[{""Incident_Title"": ""Elevated errors on Claude.ai"", ""Incident_Link"": ""https://status.anthropic.com/incidents/qkkbd8tzhlvn""}, {""Incident_Title"": ""Elevated errors on Claude.ai"", ""Incident_Link"": ""https://status.anthropic.com/incidents/059swcjlk587""}]",claude.ai
2 Jul 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 41}]",#cdc51f,"[{""Incident_Title"": ""Elevated error rates in the API"", ""Incident_Link"": ""https://status.anthropic.com/incidents/zcqbpk14kylw""}, {""Incident_Title"": ""3.5 Sonnet Partially Down"", ""Incident_Link"": ""https://status.anthropic.com/incidents/v215b9mp2jx2""}]",claude.ai
3 Jul 2024,[],#2fcc66,"[{""Incident_Title"": ""Elevated errors on Claude.ai and Console"", ""Incident_Link"": ""https://status.anthropic.com/incidents/jsp92d37pvs0""}]",claude.ai
4 Jul 2024,[],#2fcc66,[],claude.ai
5 Jul 2024,[],#2fcc66,[],claude.ai
6 Jul 2024,[],#2fcc66,[],claude.ai
7 Jul 2024,[],#2fcc66,"[{""Incident_Title"": ""Elevated Errors on Claude 3.5 Sonnet"", ""Incident_Link"": ""https://status.anthropic.com/incidents/6qbj21vdcmpq""}]",claude.ai
8 Jul 2024,[],#2fcc66,[],claude.ai
