Date,Outages,Outage_Color,Incidents,Service
1 Jun 2024,[],#10a37f,[],labs
2 Jun 2024,[],#10a37f,[],labs
3 Jun 2024,[],#10a37f,[],labs
4 Jun 2024,[],#10a37f,[],labs
5 Jun 2024,[],#10a37f,[],labs
6 Jun 2024,[],#10a37f,[],labs
7 Jun 2024,[],#10a37f,[],labs
8 Jun 2024,[],#10a37f,[],labs
9 Jun 2024,[],#10a37f,[],labs
10 Jun 2024,[],#10a37f,[],labs
11 Jun 2024,[],#10a37f,[],labs
12 Jun 2024,[],#10a37f,[],labs
13 Jun 2024,[],#10a37f,[],labs
14 Jun 2024,[],#10a37f,[],labs
15 Jun 2024,[],#10a37f,[],labs
16 Jun 2024,[],#10a37f,[],labs
17 Jun 2024,[],#10a37f,[],labs
18 Jun 2024,[],#10a37f,[],labs
19 Jun 2024,[],#10a37f,[],labs
20 Jun 2024,[],#10a37f,[],labs
21 Jun 2024,[],#10a37f,[],labs
22 Jun 2024,[],#10a37f,[],labs
23 Jun 2024,[],#10a37f,[],labs
24 Jun 2024,[],#10a37f,[],labs
25 Jun 2024,[],#10a37f,[],labs
26 Jun 2024,[],#10a37f,[],labs
27 Jun 2024,[],#10a37f,[],labs
28 Jun 2024,[],#10a37f,[],labs
29 Jun 2024,[],#10a37f,[],labs
30 Jun 2024,[],#10a37f,[],labs
1 Jul 2024,[],#10a37f,[],labs
2 Jul 2024,[],#10a37f,[],labs
3 Jul 2024,[],#10a37f,[],labs
4 Jul 2024,[],#10a37f,[],labs
5 Jul 2024,[],#10a37f,[],labs
6 Jul 2024,[],#10a37f,[],labs
7 Jul 2024,[],#10a37f,[],labs
8 Jul 2024,[],#10a37f,[],labs
9 Jul 2024,[],#10a37f,[],labs
10 Jul 2024,[],#10a37f,[],labs
11 Jul 2024,[],#10a37f,[],labs
12 Jul 2024,[],#10a37f,[],labs
13 Jul 2024,[],#10a37f,[],labs
14 Jul 2024,[],#10a37f,[],labs
15 Jul 2024,[],#10a37f,[],labs
16 Jul 2024,[],#10a37f,[],labs
17 Jul 2024,[],#10a37f,[],labs
18 Jul 2024,[],#10a37f,[],labs
19 Jul 2024,[],#10a37f,[],labs
20 Jul 2024,[],#10a37f,[],labs
21 Jul 2024,[],#10a37f,[],labs
22 Jul 2024,[],#10a37f,[],labs
23 Jul 2024,[],#10a37f,[],labs
24 Jul 2024,[],#10a37f,[],labs
25 Jul 2024,[],#10a37f,[],labs
26 Jul 2024,[],#10a37f,[],labs
27 Jul 2024,[],#10a37f,[],labs
28 Jul 2024,[],#10a37f,[],labs
29 Jul 2024,[],#10a37f,[],labs
30 Jul 2024,[],#10a37f,[],labs
31 Jul 2024,[],#10a37f,[],labs
1 Aug 2024,[],#10a37f,[],labs
2 Aug 2024,[],#10a37f,[],labs
3 Aug 2024,[],#10a37f,[],labs
4 Aug 2024,[],#10a37f,[],labs
5 Aug 2024,[],#10a37f,[],labs
6 Aug 2024,[],#10a37f,[],labs
7 Aug 2024,[],#10a37f,[],labs
8 Aug 2024,[],#10a37f,[],labs
9 Aug 2024,[],#10a37f,[],labs
10 Aug 2024,[],#10a37f,[],labs
11 Aug 2024,[],#10a37f,[],labs
12 Aug 2024,[],#10a37f,[],labs
13 Aug 2024,[],#10a37f,[],labs
14 Aug 2024,[],#10a37f,[],labs
15 Aug 2024,[],#10a37f,[],labs
16 Aug 2024,[],#10a37f,[],labs
17 Aug 2024,[],#10a37f,[],labs
18 Aug 2024,[],#10a37f,[],labs
19 Aug 2024,[],#10a37f,[],labs
20 Aug 2024,[],#10a37f,[],labs
21 Aug 2024,"[{""Outage_Type"": ""Major outage"", ""Downtime (min)"": 35}]",#e9680f,"[{""Incident_Title"": ""Elevated errors impacting logins to ChatGPT and the API Platform"", ""Incident_Link"": ""https://status.openai.com/incidents/k59vpk7p41p5""}]",labs
22 Aug 2024,[],#10a37f,[],labs
23 Aug 2024,[],#10a37f,[],labs
24 Aug 2024,[],#10a37f,[],labs
25 Aug 2024,[],#10a37f,[],labs
26 Aug 2024,[],#10a37f,[],labs
27 Aug 2024,[],#10a37f,[],labs
28 Aug 2024,[],#10a37f,[],labs
29 Aug 2024,[],#10a37f,[],labs
30 Aug 2024,[],#10a37f,[],labs
31 Aug 2024,[],#10a37f,[],labs
1 Mar 2024,[],#10a37f,[],labs
2 Mar 2024,[],#10a37f,[],labs
3 Mar 2024,[],#10a37f,[],labs
4 Mar 2024,[],#10a37f,[],labs
5 Mar 2024,[],#10a37f,[],labs
6 Mar 2024,[],#10a37f,[],labs
7 Mar 2024,[],#10a37f,[],labs
8 Mar 2024,[],#10a37f,[],labs
9 Mar 2024,[],#10a37f,[],labs
10 Mar 2024,[],#10a37f,[],labs
11 Mar 2024,[],#10a37f,[],labs
12 Mar 2024,[],#10a37f,[],labs
13 Mar 2024,[],#10a37f,[],labs
14 Mar 2024,[],#10a37f,[],labs
15 Mar 2024,[],#10a37f,[],labs
16 Mar 2024,[],#10a37f,[],labs
17 Mar 2024,[],#10a37f,[],labs
18 Mar 2024,[],#10a37f,[],labs
19 Mar 2024,[],#10a37f,"[{""Incident_Title"": ""High error rate on DALL\u00b7E"", ""Incident_Link"": ""https://status.openai.com/incidents/j6j35msq9vdt""}]",labs
20 Mar 2024,[],#10a37f,[],labs
21 Mar 2024,[],#10a37f,[],labs
22 Mar 2024,[],#10a37f,[],labs
23 Mar 2024,[],#10a37f,[],labs
24 Mar 2024,[],#10a37f,[],labs
25 Mar 2024,[],#10a37f,[],labs
26 Mar 2024,[],#10a37f,[],labs
27 Mar 2024,[],#10a37f,[],labs
28 Mar 2024,[],#10a37f,[],labs
29 Mar 2024,[],#10a37f,[],labs
30 Mar 2024,[],#10a37f,[],labs
31 Mar 2024,[],#10a37f,[],labs
1 Apr 2024,[],#10a37f,[],labs
2 Apr 2024,[],#10a37f,[],labs
3 Apr 2024,[],#10a37f,[],labs
4 Apr 2024,[],#10a37f,[],labs
5 Apr 2024,[],#10a37f,[],labs
6 Apr 2024,[],#10a37f,[],labs
7 Apr 2024,[],#10a37f,[],labs
8 Apr 2024,[],#10a37f,[],labs
9 Apr 2024,[],#10a37f,[],labs
10 Apr 2024,[],#10a37f,[],labs
11 Apr 2024,[],#10a37f,[],labs
12 Apr 2024,[],#10a37f,[],labs
13 Apr 2024,[],#10a37f,[],labs
14 Apr 2024,[],#10a37f,[],labs
15 Apr 2024,[],#10a37f,[],labs
16 Apr 2024,[],#10a37f,[],labs
17 Apr 2024,[],#10a37f,[],labs
18 Apr 2024,[],#10a37f,[],labs
19 Apr 2024,[],#10a37f,[],labs
20 Apr 2024,[],#10a37f,[],labs
21 Apr 2024,[],#10a37f,[],labs
22 Apr 2024,[],#10a37f,[],labs
23 Apr 2024,[],#10a37f,[],labs
24 Apr 2024,[],#10a37f,[],labs
25 Apr 2024,[],#10a37f,[],labs
26 Apr 2024,[],#10a37f,[],labs
27 Apr 2024,[],#10a37f,[],labs
28 Apr 2024,[],#10a37f,[],labs
29 Apr 2024,[],#10a37f,[],labs
30 Apr 2024,[],#10a37f,[],labs
1 May 2024,[],#10a37f,[],labs
2 May 2024,[],#10a37f,[],labs
3 May 2024,[],#10a37f,[],labs
4 May 2024,[],#10a37f,[],labs
5 May 2024,[],#10a37f,[],labs
6 May 2024,[],#10a37f,[],labs
7 May 2024,[],#10a37f,"[{""Incident_Title"": ""Some Customers Cannot Message Support"", ""Incident_Link"": ""https://status.openai.com/incidents/tk3m1vwpslck""}]",labs
8 May 2024,[],#10a37f,[],labs
9 May 2024,[],#10a37f,[],labs
10 May 2024,[],#10a37f,[],labs
11 May 2024,[],#10a37f,[],labs
12 May 2024,[],#10a37f,[],labs
13 May 2024,[],#10a37f,[],labs
14 May 2024,[],#10a37f,[],labs
15 May 2024,[],#10a37f,[],labs
16 May 2024,[],#10a37f,[],labs
17 May 2024,[],#10a37f,[],labs
18 May 2024,[],#10a37f,[],labs
19 May 2024,[],#10a37f,[],labs
20 May 2024,[],#10a37f,[],labs
21 May 2024,[],#10a37f,[],labs
22 May 2024,[],#10a37f,[],labs
23 May 2024,[],#10a37f,[],labs
24 May 2024,[],#10a37f,[],labs
25 May 2024,[],#10a37f,[],labs
26 May 2024,[],#10a37f,[],labs
