Date,Outages,Outage_Color,Incidents,Service
1 Jun 2024,[],#10a37f,[],playground
2 Jun 2024,[],#10a37f,[],playground
3 Jun 2024,[],#10a37f,[],playground
4 Jun 2024,[],#10a37f,[],playground
5 Jun 2024,[],#10a37f,[],playground
6 Jun 2024,[],#10a37f,[],playground
7 Jun 2024,[],#10a37f,[],playground
8 Jun 2024,[],#10a37f,[],playground
9 Jun 2024,[],#10a37f,[],playground
10 Jun 2024,[],#10a37f,[],playground
11 Jun 2024,[],#10a37f,[],playground
12 Jun 2024,[],#10a37f,[],playground
13 Jun 2024,[],#10a37f,[],playground
14 Jun 2024,[],#10a37f,[],playground
15 Jun 2024,[],#10a37f,[],playground
16 Jun 2024,[],#10a37f,[],playground
17 Jun 2024,[],#10a37f,[],playground
18 Jun 2024,[],#10a37f,[],playground
19 Jun 2024,[],#10a37f,[],playground
20 Jun 2024,[],#10a37f,[],playground
21 Jun 2024,[],#10a37f,[],playground
22 Jun 2024,[],#10a37f,[],playground
23 Jun 2024,[],#10a37f,[],playground
24 Jun 2024,[],#10a37f,[],playground
25 Jun 2024,[],#10a37f,[],playground
26 Jun 2024,[],#10a37f,[],playground
27 Jun 2024,[],#10a37f,[],playground
28 Jun 2024,[],#10a37f,[],playground
29 Jun 2024,[],#10a37f,[],playground
30 Jun 2024,[],#10a37f,[],playground
1 Jul 2024,[],#10a37f,[],playground
2 Jul 2024,[],#10a37f,[],playground
3 Jul 2024,[],#10a37f,[],playground
4 Jul 2024,[],#10a37f,[],playground
5 Jul 2024,[],#10a37f,[],playground
6 Jul 2024,[],#10a37f,[],playground
7 Jul 2024,[],#10a37f,[],playground
8 Jul 2024,[],#10a37f,[],playground
9 Jul 2024,[],#10a37f,[],playground
10 Jul 2024,[],#10a37f,[],playground
11 Jul 2024,[],#10a37f,[],playground
12 Jul 2024,[],#10a37f,[],playground
13 Jul 2024,[],#10a37f,[],playground
14 Jul 2024,[],#10a37f,[],playground
15 Jul 2024,[],#10a37f,[],playground
16 Jul 2024,[],#10a37f,[],playground
17 Jul 2024,[],#10a37f,[],playground
18 Jul 2024,[],#10a37f,[],playground
19 Jul 2024,[],#10a37f,[],playground
20 Jul 2024,[],#10a37f,[],playground
21 Jul 2024,[],#10a37f,[],playground
22 Jul 2024,[],#10a37f,[],playground
23 Jul 2024,[],#10a37f,[],playground
24 Jul 2024,[],#10a37f,[],playground
25 Jul 2024,[],#10a37f,[],playground
26 Jul 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 112}]",#e86b0a,"[{""Incident_Title"": ""Increased latency and error rates affecting GPT-4o mini"", ""Incident_Link"": ""https://status.openai.com/incidents/rq519d4v09bw""}]",playground
27 Jul 2024,[],#10a37f,[],playground
28 Jul 2024,[],#10a37f,[],playground
29 Jul 2024,[],#10a37f,[],playground
30 Jul 2024,[],#10a37f,[],playground
31 Jul 2024,[],#10a37f,[],playground
1 Aug 2024,[],#10a37f,[],playground
2 Aug 2024,[],#10a37f,[],playground
3 Aug 2024,[],#10a37f,[],playground
4 Aug 2024,[],#10a37f,[],playground
5 Aug 2024,[],#10a37f,[],playground
6 Aug 2024,[],#10a37f,[],playground
7 Aug 2024,[],#10a37f,[],playground
8 Aug 2024,[],#10a37f,[],playground
9 Aug 2024,[],#10a37f,[],playground
10 Aug 2024,[],#10a37f,[],playground
11 Aug 2024,[],#10a37f,[],playground
12 Aug 2024,[],#10a37f,[],playground
13 Aug 2024,[],#10a37f,[],playground
14 Aug 2024,[],#10a37f,[],playground
15 Aug 2024,[],#10a37f,"[{""Incident_Title"": ""Elevated error rates for the Assistants API"", ""Incident_Link"": ""https://status.openai.com/incidents/26jngpxh098l""}]",playground
16 Aug 2024,[],#10a37f,[],playground
17 Aug 2024,[],#10a37f,[],playground
18 Aug 2024,[],#10a37f,[],playground
19 Aug 2024,[],#10a37f,[],playground
20 Aug 2024,[],#10a37f,[],playground
21 Aug 2024,"[{""Outage_Type"": ""Major outage"", ""Downtime (min)"": 35}]",#e9680f,"[{""Incident_Title"": ""Elevated errors impacting logins to ChatGPT and the API Platform"", ""Incident_Link"": ""https://status.openai.com/incidents/k59vpk7p41p5""}]",playground
22 Aug 2024,[],#10a37f,[],playground
23 Aug 2024,[],#10a37f,[],playground
24 Aug 2024,[],#10a37f,[],playground
25 Aug 2024,[],#10a37f,[],playground
26 Aug 2024,[],#10a37f,[],playground
27 Aug 2024,[],#10a37f,[],playground
28 Aug 2024,[],#10a37f,[],playground
29 Aug 2024,[],#10a37f,[],playground
30 Aug 2024,[],#10a37f,[],playground
31 Aug 2024,[],#10a37f,[],playground
1 Mar 2024,[],#10a37f,[],playground
2 Mar 2024,[],#10a37f,[],playground
3 Mar 2024,[],#10a37f,[],playground
4 Mar 2024,[],#10a37f,[],playground
5 Mar 2024,[],#10a37f,[],playground
6 Mar 2024,[],#10a37f,[],playground
7 Mar 2024,[],#10a37f,[],playground
8 Mar 2024,[],#10a37f,[],playground
9 Mar 2024,[],#10a37f,[],playground
10 Mar 2024,[],#10a37f,[],playground
11 Mar 2024,[],#10a37f,[],playground
12 Mar 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 65}]",#f3ac36,"[{""Incident_Title"": ""Issues logging into platform.openai.com"", ""Incident_Link"": ""https://status.openai.com/incidents/k2m9q0wf8rtb""}]",playground
13 Mar 2024,[],#10a37f,[],playground
14 Mar 2024,[],#10a37f,[],playground
15 Mar 2024,[],#10a37f,[],playground
16 Mar 2024,[],#10a37f,[],playground
17 Mar 2024,[],#10a37f,[],playground
18 Mar 2024,[],#10a37f,[],playground
19 Mar 2024,[],#10a37f,[],playground
20 Mar 2024,[],#10a37f,[],playground
21 Mar 2024,[],#10a37f,[],playground
22 Mar 2024,[],#10a37f,[],playground
23 Mar 2024,[],#10a37f,[],playground
24 Mar 2024,[],#10a37f,[],playground
25 Mar 2024,[],#10a37f,[],playground
26 Mar 2024,[],#10a37f,[],playground
27 Mar 2024,[],#10a37f,[],playground
28 Mar 2024,[],#10a37f,[],playground
29 Mar 2024,[],#10a37f,[],playground
30 Mar 2024,[],#10a37f,[],playground
31 Mar 2024,[],#10a37f,[],playground
1 Apr 2024,[],#10a37f,[],playground
2 Apr 2024,[],#10a37f,[],playground
3 Apr 2024,[],#10a37f,[],playground
4 Apr 2024,[],#10a37f,"[{""Incident_Title"": ""Assistants API messages are truncated or split"", ""Incident_Link"": ""https://status.openai.com/incidents/7b6zrdqn4x1v""}]",playground
5 Apr 2024,[],#10a37f,[],playground
6 Apr 2024,[],#10a37f,[],playground
7 Apr 2024,[],#10a37f,[],playground
8 Apr 2024,[],#10a37f,[],playground
9 Apr 2024,[],#10a37f,[],playground
10 Apr 2024,[],#10a37f,[],playground
11 Apr 2024,[],#10a37f,[],playground
12 Apr 2024,[],#10a37f,[],playground
13 Apr 2024,[],#10a37f,[],playground
14 Apr 2024,[],#10a37f,[],playground
15 Apr 2024,[],#10a37f,[],playground
16 Apr 2024,[],#10a37f,[],playground
17 Apr 2024,[],#10a37f,[],playground
18 Apr 2024,[],#10a37f,[],playground
19 Apr 2024,[],#10a37f,[],playground
20 Apr 2024,[],#10a37f,[],playground
21 Apr 2024,[],#10a37f,[],playground
22 Apr 2024,[],#10a37f,[],playground
23 Apr 2024,[],#10a37f,[],playground
24 Apr 2024,[],#10a37f,[],playground
25 Apr 2024,[],#10a37f,[],playground
26 Apr 2024,[],#10a37f,[],playground
27 Apr 2024,[],#10a37f,[],playground
28 Apr 2024,[],#10a37f,[],playground
29 Apr 2024,[],#10a37f,[],playground
30 Apr 2024,[],#10a37f,[],playground
1 May 2024,[],#10a37f,[],playground
2 May 2024,[],#10a37f,[],playground
3 May 2024,[],#10a37f,[],playground
4 May 2024,[],#10a37f,[],playground
5 May 2024,[],#10a37f,[],playground
6 May 2024,[],#10a37f,[],playground
7 May 2024,[],#10a37f,"[{""Incident_Title"": ""Some Customers Cannot Message Support"", ""Incident_Link"": ""https://status.openai.com/incidents/tk3m1vwpslck""}]",playground
8 May 2024,[],#10a37f,[],playground
9 May 2024,[],#10a37f,[],playground
10 May 2024,[],#10a37f,[],playground
11 May 2024,[],#10a37f,[],playground
12 May 2024,[],#10a37f,[],playground
13 May 2024,[],#10a37f,[],playground
14 May 2024,[],#10a37f,[],playground
15 May 2024,[],#10a37f,[],playground
16 May 2024,[],#10a37f,[],playground
17 May 2024,[],#10a37f,[],playground
18 May 2024,[],#10a37f,[],playground
19 May 2024,[],#10a37f,[],playground
20 May 2024,[],#10a37f,[],playground
21 May 2024,[],#10a37f,[],playground
22 May 2024,[],#10a37f,[],playground
23 May 2024,[],#10a37f,[],playground
24 May 2024,[],#10a37f,[],playground
25 May 2024,[],#10a37f,[],playground
26 May 2024,[],#10a37f,[],playground
27 May 2024,[],#10a37f,[],playground
28 May 2024,[],#10a37f,[],playground
29 May 2024,[],#10a37f,[],playground
30 May 2024,[],#10a37f,[],playground
31 May 2024,[],#10a37f,[],playground
1 Dec 2023,[],#10a37f,[],playground
2 Dec 2023,[],#10a37f,[],playground
3 Dec 2023,[],#10a37f,[],playground
4 Dec 2023,[],#10a37f,[],playground
5 Dec 2023,[],#10a37f,[],playground
6 Dec 2023,[],#10a37f,[],playground
7 Dec 2023,[],#10a37f,[],playground
8 Dec 2023,[],#10a37f,[],playground
9 Dec 2023,[],#10a37f,[],playground
10 Dec 2023,[],#10a37f,[],playground
11 Dec 2023,[],#10a37f,[],playground
12 Dec 2023,[],#10a37f,[],playground
13 Dec 2023,[],#10a37f,[],playground
14 Dec 2023,[],#10a37f,[],playground
15 Dec 2023,[],#10a37f,[],playground
16 Dec 2023,[],#10a37f,[],playground
17 Dec 2023,[],#10a37f,[],playground
18 Dec 2023,[],#10a37f,[],playground
19 Dec 2023,[],#10a37f,[],playground
20 Dec 2023,[],#10a37f,[],playground
21 Dec 2023,[],#10a37f,[],playground
22 Dec 2023,[],#10a37f,[],playground
23 Dec 2023,[],#10a37f,[],playground
24 Dec 2023,[],#10a37f,[],playground
25 Dec 2023,[],#10a37f,[],playground
26 Dec 2023,[],#10a37f,[],playground
27 Dec 2023,[],#10a37f,[],playground
28 Dec 2023,[],#10a37f,[],playground
29 Dec 2023,[],#10a37f,[],playground
30 Dec 2023,[],#10a37f,[],playground
31 Dec 2023,[],#10a37f,[],playground
1 Jan 2024,[],#10a37f,[],playground
2 Jan 2024,[],#10a37f,[],playground
3 Jan 2024,[],#10a37f,[],playground
